source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[enrichment process]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[elution conditions]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[sampling time]
PXD003529-Sample-11	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	15 minute	2	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_015_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	15 minute
PXD003529-Sample-12	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	15 minute	3	run 12	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_015_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	15 minute
PXD003529-Sample-13	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	30 minute	1	run 13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_030_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	30 minute
PXD003529-Sample-14	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	30 minute	2	run 14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_030_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	30 minute
PXD003529-Sample-15	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	30 minute	3	run 15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_030_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	30 minute
PXD003529-Sample-16	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	45 minute	1	run 16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_045_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	45 minute
PXD003529-Sample-17	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	45 minute	2	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_045_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	45 minute
PXD003529-Sample-18	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	45 minute	3	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_045_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	45 minute
PXD003529-Sample-19	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	60 minute	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_060_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	60 minute
PXD003529-Sample-20	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	60 minute	2	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_060_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	60 minute
PXD003529-Sample-21	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	60 minute	3	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP01	226 min LC method duration, Thermo EASY-nLC, Xcalibur method CoreQEP1_Top5_245min_50cm_MaRa_IT120	2014-12-22	20141222_coreQEP1_MaRa_SA_mr3p132_EXP01_HDC_060_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	60 minute
PXD003529-Sample-22	Xenopus laevis	egg	egg cell	sperm	normal	not available	not applicable	not available	cell	sample enrichment	PflMI restriction endonuclease	20 minute	1	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not available	20 ppm	not available	not available	not applicable	1	1	EXP02	226 min LC method duration, Thermo EASY-nLC, Xcalibur method Sample_Top5_245min_50cm_MaRa	2014-09-05	20140905_QEp4_MaRa_SA_mr3p42_EXP02_HDC_020_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	PflMI restriction endonuclease	20 minute
