source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD002633-Sample-1	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	1	not available	1	assay_11	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001752	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S11.raw	0.80 Da	20 ppm	liquid chromatography	1	S11.raw	hdl
PXD002633-Sample-2	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	2	not available	2	assay_12	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001753	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S12.raw	0.80 Da	20 ppm	liquid chromatography	1	S12.raw	hdl
PXD002633-Sample-3	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	3	not available	3	assay_13	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001754	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S13.raw	0.80 Da	20 ppm	liquid chromatography	1	S13.raw	hdl
PXD002633-Sample-4	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	4	not available	4	assay_14	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001755	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S14.raw	0.80 Da	20 ppm	liquid chromatography	1	S14.raw	hdl
PXD002633-Sample-5	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	5	not available	5	assay_15	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001756	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S15.raw	0.80 Da	20 ppm	liquid chromatography	1	S15.raw	hdl
PXD002633-Sample-6	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	6	not available	6	assay_16	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001757	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S16.raw	0.80 Da	20 ppm	liquid chromatography	1	S16.raw	hdl
PXD002633-Sample-7	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	7	not available	7	assay_17	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001758	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S17.raw	0.80 Da	20 ppm	liquid chromatography	1	S17.raw	hdl
PXD002633-Sample-8	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	8	not available	8	assay_18	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001759	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S18.raw	0.80 Da	20 ppm	liquid chromatography	1	S18.raw	hdl
PXD002633-Sample-9	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	9	not available	9	assay_19	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001760	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S19.raw	0.80 Da	20 ppm	liquid chromatography	1	S19.raw	hdl
PXD002633-Sample-10	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	10	not available	10	assay_20	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001761	AC=MS:1002038;NT=label free sample	2	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S20.raw	0.80 Da	20 ppm	liquid chromatography	1	S20.raw	hdl
PXD002633-Sample-1	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	1	not available	1	assay_21	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001762	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S21.raw	0.80 Da	20 ppm	liquid chromatography	1	S21.raw	hdl
PXD002633-Sample-2	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	2	not available	2	assay_22	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001763	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S22.raw	0.80 Da	20 ppm	liquid chromatography	1	S22.raw	hdl
PXD002633-Sample-3	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	3	not available	3	assay_23	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001764	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S23.raw	0.80 Da	20 ppm	liquid chromatography	1	S23.raw	hdl
PXD002633-Sample-4	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	4	not available	4	assay_24	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001765	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S24.raw	0.80 Da	20 ppm	liquid chromatography	1	S24.raw	hdl
PXD002633-Sample-5	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	5	not available	5	assay_25	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001766	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S25.raw	0.80 Da	20 ppm	liquid chromatography	1	S25.raw	hdl
PXD002633-Sample-6	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	6	not available	6	assay_26	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001767	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S26.raw	0.80 Da	20 ppm	liquid chromatography	1	S26.raw	hdl
PXD002633-Sample-7	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	7	not available	7	assay_27	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001768	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S27.raw	0.80 Da	20 ppm	liquid chromatography	1	S27.raw	hdl
PXD002633-Sample-8	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	8	not available	8	assay_28	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001769	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S28.raw	0.80 Da	20 ppm	liquid chromatography	1	S28.raw	hdl
PXD002633-Sample-9	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	9	not available	9	assay_29	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001770	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S29.raw	0.80 Da	20 ppm	liquid chromatography	1	S29.raw	hdl
PXD002633-Sample-10	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	10	not available	10	assay_30	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001771	AC=MS:1002038;NT=label free sample	3	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S30.raw	0.80 Da	20 ppm	liquid chromatography	1	S30.raw	hdl
PXD002633-Sample-1	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	1	not available	1	assay_31	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001772	AC=MS:1002038;NT=label free sample	4	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S31.raw	0.80 Da	20 ppm	liquid chromatography	1	S31.raw	hdl
PXD002633-Sample-2	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	2	not available	2	assay_32	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001773	AC=MS:1002038;NT=label free sample	4	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S32.raw	0.80 Da	20 ppm	liquid chromatography	1	S32.raw	hdl
PXD002633-Sample-3	Homo sapiens	hdl	normal	not applicable	33Y-55Y	not available	not applicable	not applicable	not available	3	not available	3	assay_33	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001774	AC=MS:1002038;NT=label free sample	4	size-exclusion chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;AC=UNIMOD:1;MT=variable	NT=Trypsin/P; AC=MS:1001313	not available	AC=MS:1000133;NT=CID	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD002633/S33.raw	0.80 Da	20 ppm	liquid chromatography	1	S33.raw	hdl
