source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[parent sample]	characteristics[sample name]	characteristics[batch]	characteristics[genotype]	characteristics[treatment]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[parent sample]	factor value[sample name]	factor value[batch]	factor value[genotype]	factor value[treatment]	factor value[biological replicate]
sample 11	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	Col0_IAA_5_3	Col0_IAA_5_3	2	Col_0	IAA	Run 11	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_IAA-5-3_Slot1-16_1_7716.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_3	Col0_IAA_5_3	2	Col_0	IAA	3
sample 12	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	Col0_mock_1_2	Col0_mock_1_2	2	Col_0	mock	Run 12	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_mock-1-2_Slot1-2_1_7710.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_2	Col0_mock_1_2	2	Col_0	mock	2
sample 13	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	TOWGFP_IAA_8_1	TOWGFP_IAA_8_1	1	TOWGFP	IAA	Run 13	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_IAA-8-1_Slot1-23_1_7712.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_1	TOWGFP_IAA_8_1	1	TOWGFP	IAA	1
sample 14	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	TOWGFP_IAA_8_2	TOWGFP_IAA_8_2	2	TOWGFP	IAA	Run 14	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_IAA-8-2_Slot1-24_1_7720.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_2	TOWGFP_IAA_8_2	2	TOWGFP	IAA	2
sample 15	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	TOWGFP_mock_4_1	TOWGFP_mock_4_1	2	TOWGFP	mock	Run 15	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_mock-4-1_Slot1-10_1_7704.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_1	TOWGFP_mock_4_1	2	TOWGFP	mock	1
sample 16	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	TOWGFP_mock_4_2	TOWGFP_mock_4_2	2	TOWGFP	mock	Run 16	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_mock-4-2_Slot1-11_1_7722.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_2	TOWGFP_mock_4_2	2	TOWGFP	mock	2
sample 17	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	TOWGFP_mock_4_3	TOWGFP_mock_4_3	2	TOWGFP	mock	Run 17	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_mock-4-3_Slot1-12_1_7728.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_3	TOWGFP_mock_4_3	2	TOWGFP	mock	3
sample 18	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	4	not available	TOWGFP_mock_4_4	TOWGFP_mock_4_4	2	TOWGFP	mock	Run 18	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_mock-4-4_Slot1-13_1_7732.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_4	TOWGFP_mock_4_4	2	TOWGFP	mock	4
sample 19	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	Col0_mock_1_1	Col0_mock_1_1	1	Col_0	mock	Run 19	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_mock-1-1_Slot1-1_1_7742.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_1	Col0_mock_1_1	1	Col_0	mock	1
sample 20	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	not available	b17_mock_2_1	b17_mock_2_1	1	b17	mock	Run 20	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_mock-2-1_Slot1-4_1_7750.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_mock_2_1	b17_mock_2_1	1	b17	mock	1
sample 21	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	b17_mock_2_3	b17_mock_2_3	2	b17	mock	Run 21	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b17_mock-2-3_Slot1-6_1_7740.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_mock_2_3	b17_mock_2_3	2	b17	mock	3
sample 22	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	b74_IAA_7_2	b74_IAA_7_2	2	b74	IAA	Run 22	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	b74_IAA-7-2_Slot1-21_1_7744.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b74_IAA_7_2	b74_IAA_7_2	2	b74	IAA	2
sample 23	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	not available	Col0_IAA_5_2	Col0_IAA_5_2	2	Col_0	IAA	Run 23	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_IAA-5-2_Slot1-15_1_7748.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_2	Col0_IAA_5_2	2	Col_0	IAA	2
sample 24	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	Col0_mock_1_3	Col0_mock_1_3	2	Col_0	mock	Run 24	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	Col-0_mock-1-3_Slot1-3_1_7736.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_3	Col0_mock_1_3	2	Col_0	mock	3
sample 25	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	not available	TOWGFP_IAA_8_3	TOWGFP_IAA_8_3	2	TOWGFP	IAA	Run 25	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	1	1	TOWGFP_IAA-8-3_Slot1-25_1_7746.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_3	TOWGFP_IAA_8_3	2	TOWGFP	IAA	3
sample 26	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	Col0_IAA_5_1	Col0_IAA_5_1	1	Col_0	IAA	Run 26	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_IAA-5-1-dda_Slot1-14_1_7785.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_1	Col0_IAA_5_1	1	Col_0	IAA	1
sample 27	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	Col0_IAA_5_2	Col0_IAA_5_2	2	Col_0	IAA	Run 27	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_IAA-5-2dda_Slot1-15_1_7854.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_2	Col0_IAA_5_2	2	Col_0	IAA	2
sample 28	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	phosphorylated residue	Col0_IAA_5_3	Col0_IAA_5_3	2	Col_0	IAA	Run 28	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_IAA-5-3dda_Slot1-16_1_7806.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_IAA_5_3	Col0_IAA_5_3	2	Col_0	IAA	3
sample 29	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	Col0_mock_1_1	Col0_mock_1_1	1	Col_0	mock	Run 29	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_mock-1-1dda_Slot1-1_1_7845.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_1	Col0_mock_1_1	1	Col_0	mock	1
sample 30	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	Col0_mock_1_2	Col0_mock_1_2	2	Col_0	mock	Run 30	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_mock-1-2dda_Slot1-2_1_7797.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_2	Col0_mock_1_2	2	Col_0	mock	2
sample 31	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	phosphorylated residue	Col0_mock_1_3	Col0_mock_1_3	2	Col_0	mock	Run 31	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	Col-0_mock-1-3dda_Slot1-3_1_7836.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	Col0_mock_1_3	Col0_mock_1_3	2	Col_0	mock	3
sample 32	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	TOWGFP_IAA_8_1	TOWGFP_IAA_8_1	1	TOWGFP	IAA	Run 32	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_IAA-8-1dda_Slot1-23_1_7800.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_1	TOWGFP_IAA_8_1	1	TOWGFP	IAA	1
sample 33	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	TOWGFP_IAA_8_2	TOWGFP_IAA_8_2	2	TOWGFP	IAA	Run 33	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_IAA-8-2dda_Slot1-24_1_7812.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_2	TOWGFP_IAA_8_2	2	TOWGFP	IAA	2
sample 34	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	phosphorylated residue	TOWGFP_IAA_8_3	TOWGFP_IAA_8_3	2	TOWGFP	IAA	Run 34	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_IAA-8-3dda_Slot1-25_1_7851.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_IAA_8_3	TOWGFP_IAA_8_3	2	TOWGFP	IAA	3
sample 35	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	TOWGFP_mock_4_1	TOWGFP_mock_4_1	2	TOWGFP	mock	Run 35	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_mock-4-1-dda_Slot1-10_1_7788.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_1	TOWGFP_mock_4_1	2	TOWGFP	mock	1
sample 36	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	TOWGFP_mock_4_2	TOWGFP_mock_4_2	2	TOWGFP	mock	Run 36	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_mock-4-2dda_Slot1-11_1_7815.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_2	TOWGFP_mock_4_2	2	TOWGFP	mock	2
sample 37	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	phosphorylated residue	TOWGFP_mock_4_3	TOWGFP_mock_4_3	2	TOWGFP	mock	Run 37	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_mock-4-3dda_Slot1-12_1_7824.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_3	TOWGFP_mock_4_3	2	TOWGFP	mock	3
sample 38	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	4	phosphorylated residue	TOWGFP_mock_4_4	TOWGFP_mock_4_4	2	TOWGFP	mock	Run 38	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	TOWGFP_mock-4-4dda_Slot1-13_1_7830.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	TOWGFP_mock_4_4	TOWGFP_mock_4_4	2	TOWGFP	mock	4
sample 39	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	b17_IAA_6_1	b17_IAA_6_1	1	b17	IAA	Run 39	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	b17_IAA-6-1dda_Slot1-17_1_7839.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_1	b17_IAA_6_1	1	b17	IAA	1
sample 40	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	b17_IAA_6_2	b17_IAA_6_2	2	b17	IAA	Run 40	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	b17_IAA-6-2dda_Slot1-18_1_7794.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_2	b17_IAA_6_2	2	b17	IAA	2
sample 41	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	3	phosphorylated residue	b17_IAA_6_3	b17_IAA_6_3	2	b17	IAA	Run 41	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	b17_IAA-6-3dda_Slot1-19_1_7827.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_IAA_6_3	b17_IAA_6_3	2	b17	IAA	3
sample 42	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	1	phosphorylated residue	b17_mock_2_1	b17_mock_2_1	1	b17	mock	Run 42	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	b17_mock-2-1dda_Slot1-4_1_7857.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_mock_2_1	b17_mock_2_1	1	b17	mock	1
sample 43	NT=Arabidopsis thaliana;AC=NCBITaxon:3702	root	not applicable	not applicable	not available	2	phosphorylated residue	b17_mock_2_2	b17_mock_2_2	2	b17	mock	Run 43	proteomic profiling by mass spectrometry	Data-dependent acquisition	timsTOF HT	NT=label free sample;AC=MS:1002038	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	2	1	b17_mock-2-2dda_Slot1-5_1_7791.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	b17_mock_2_2	b17_mock_2_2	2	b17	mock	2
