source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
23_40	arabidopsis thaliana	root	not applicable	not available	5 days	40	23_40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	23_40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/23_40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
36_53_130804153353	arabidopsis thaliana	root	not applicable	not available	5 days	1	36_53_130804153353	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	36_53_130804153353.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/36_53_130804153353.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
Mix6_Fraction_36_52	arabidopsis thaliana	root	not applicable	not available	5 days	52	Mix6_Fraction_36_52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	Mix6_Fraction_36_52.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/Mix6_Fraction_36_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
23_40_130802225019	arabidopsis thaliana	root	not applicable	not available	5 days	1	23_40_130802225019	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	23_40_130802225019.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/23_40_130802225019.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
Mix6_Fraction_33_49	arabidopsis thaliana	root	not applicable	not available	5 days	49	Mix6_Fraction_33_49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	Mix6_Fraction_33_49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/Mix6_Fraction_33_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
38_55	arabidopsis thaliana	root	not applicable	not available	5 days	55	38_55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	38_55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/38_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
Mix6_Fraction_41_57	arabidopsis thaliana	root	not applicable	not available	5 days	57	Mix6_Fraction_41_57	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	Mix6_Fraction_41_57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/Mix6_Fraction_41_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
30B	arabidopsis thaliana	root	not applicable	not available	5 days	1	30B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	30B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/30B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
25_42	arabidopsis thaliana	root	not applicable	not available	5 days	42	25_42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	25_42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/25_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
31_48	arabidopsis thaliana	root	not applicable	not available	5 days	48	31_48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	31_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/31_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
30_TAILS_C	arabidopsis thaliana	root	not applicable	not available	5 days	1	30_TAILS_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	30_TAILS_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/30_TAILS_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
33_50_130804060959	arabidopsis thaliana	root	not applicable	not available	5 days	1	33_50_130804060959	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	33_50_130804060959.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/33_50_130804060959.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
30_47	arabidopsis thaliana	root	not applicable	not available	5 days	47	30_47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	30_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/30_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
26_43_130803081413	arabidopsis thaliana	root	not applicable	not available	5 days	1	26_43_130803081413	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	26_43_130803081413.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/26_43_130803081413.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
Mix6_Fraction_32_48	arabidopsis thaliana	root	not applicable	not available	5 days	48	Mix6_Fraction_32_48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	Mix6_Fraction_32_48.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/Mix6_Fraction_32_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
26_43	arabidopsis thaliana	root	not applicable	not available	5 days	43	26_43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	26_43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/26_43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
22_39_130802194157	arabidopsis thaliana	root	not applicable	not available	5 days	1	22_39_130802194157	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	10 ppm	57.0214 Da	n-ethylmaleimide (nem)	1	1	22_39_130802194157.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/03/PXD001719/22_39_130802194157.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	root
