source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[project name]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[geographic location]	characteristics[perturbation]	characteristics[gastrointestinal tract disorder]	characteristics[antibiotic treatment]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[dissociation method]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[ms min mz]	comment[ms max mz]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]
MB_20200120_QE_Proteon2_11	MB_20200120_QE_Proteon2_11	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_12_200216231604	MB_20200120_QE_Proteon2_12_200216231604	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_12_200216231604	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_12_200216231604.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_13	MB_20200120_QE_Proteon2_13	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_14	MB_20200120_QE_Proteon2_14	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_15_200216153317	MB_20200120_QE_Proteon2_15_200216153317	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_15_200216153317	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_15_200216153317.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_16_200217052613	MB_20200120_QE_Proteon2_16_200217052613	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_16_200217052613	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_16_200217052613.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_17_200217035343	MB_20200120_QE_Proteon2_17_200217035343	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_17_200217035343	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_17_200217035343.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_18	MB_20200120_QE_Proteon2_18	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_19	MB_20200120_QE_Proteon2_19	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_20	MB_20200120_QE_Proteon2_20	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
MB_20200120_QE_Proteon2_21	MB_20200120_QE_Proteon2_21	human gut metagenome	not applicable	digestive tract	1	not pooled	study sample	Effects_of_BAFASAL_on_human_microbiome	feces	gut microbiome	Canada	2% (v/v) ex vivo microbiota treatment	none	none in the 3 months preceding sample collection	Homo sapiens	not available	normal	feces	feces	MB_20200120_QE_Proteon2_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	20 ppm	300m/z	1800m/z	1	1	MB_20200120_QE_Proteon2_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	2% (v/v) ex vivo microbiota treatment
