source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	13	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	22	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	26	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	15	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr19	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	19	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_3d_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR5_111012_EDG_11EDEG011_Ti-IMAC_fr8	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	8	1	OR5_111012_EDG_11EDEG011_Ti-IMAC_fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR5_111012_EDG_11EDEG011_Ti-IMAC_fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	10	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr12	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	12	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr27	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	27	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr21	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	21	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr20b	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr20b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr20b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr20b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR8_130620_13EDEG004_9dIP	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR8_130620_13EDEG004_9dIP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR8_130620_13EDEG004_9dIP.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR8_130620_13EDEG004_9dIP.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr2	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	2	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr8	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	8	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr17b	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr17b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr17b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110329_EDG_11EDEG004_9d_Ti_IMAC_fr17b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr3	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	3	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr1	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	strong cation-exchange chromatography (scx)	1	1	OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000523/OR4_110707_EDG_11EDEG008_Ti_IMAC_9d_fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
