source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell type]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
D-M1-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	11	not available	14576	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3650_6-14-2022_Blanco_14576_DIA_140min_d10_8ul_RB8.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M2-Total Cells	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	12	not available	14577	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3656_6-14-2022_Blanco_14577_DIA_140min_d10_8ul_RC4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M0-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	13	not available	14578	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3607_6-9-2022_Blanco_14578_DIA_140min_d10_8ul_RB1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M1-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	14	not available	14579	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3613_6-10-2022_Blanco_14579_DIA_140min_d10_8ul_RB5.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M2-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	15	not available	14580	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3621_6-10-2022_Blanco_14580_DIA_140min_d10_8ul_RC1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M0-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	16	not available	14581	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3608_6-9-2022_Blanco_14581_DIA_140min_d10_8ul_RB2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M1-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	17	not available	14582	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3614_6-10-2022_Blanco_14582_DIA_140min_d10_8ul_RB6.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M2-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	18	not available	14583	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3622_6-10-2022_Blanco_14583_DIA_140min_d10_8ul_RC2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M0-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	19	not available	14584	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3627_6-11-2022_Blanco_14584_DIA_140min_d10_12ul_RB3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M1-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	20	not available	14585	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3615_6-10-2022_Blanco_14585_DIA_140min_d10_8ul_RB7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M2-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	21	not available	14586	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3623_6-10-2022_Blanco_14586_DIA_140min_d10_8ul_RC3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M0-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	22	not available	14587	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3610_6-9-2022_Blanco_14587_DIA_140min_d10_8ul_RB4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M1-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	23	not available	14588	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3618_6-10-2022_Blanco_14588_DIA_140min_d10_8ul_RB8.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M2-Mito Enriched	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	24	not available	14589	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3624_6-10-2022_Blanco_14589_DIA_140min_d10_8ul_RC4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M0-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	25	not available	14590	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3580_6-7-2022_Blanco_14590_DIA_140min_5ul_RB1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M1-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	26	not available	14591	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3586_6-7-2022_Blanco_14591_DIA_140min_5ul_RB5.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
A-M2-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	27	not available	14592	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3592_6-8-2022_Blanco_14592_DIA_140min_5ul_RC1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M0-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	28	not available	14593	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3581_6-7-2022_Blanco_14593_DIA_140min_5ul_RB2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M1-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	29	not available	14594	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3587_6-8-2022_Blanco_14594_DIA_140min_5ul_RB6.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
B-M2-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	30	not available	14595	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3593_6-8-2022_Blanco_14595_DIA_140min_5ul_RC2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M0-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	31	not available	14596	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3582_6-7-2022_Blanco_14596_DIA_140min_5ul_RB3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M1-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	32	not available	14597	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3588_6-8-2022_Blanco_14597_DIA_140min_5ul_RB7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C-M2-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	33	not available	14598	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3594_6-8-2022_Blanco_14598_DIA_140min_5ul_RC3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
D-M0-Mito IP	mus musculus	not applicable	not applicable	Bone marrow derived macrophages (BMDM)	not applicable	not applicable	not applicable	not applicable	34	not available	14599	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	AC=MS:1001251;NT=Trypsin	1	1	3583_6-7-2022_Blanco_14599_DIA_140min_5ul_RB4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
