source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[fusion protein]	factor value[replicate]
CA92-11	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	11	16206	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16206_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17	repl1
CA92-12	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	12	16207	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16207_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Tex264TMD-GFP	repl1
CA93-1	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	13	16208	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16208_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62-GFP	repl2
CA93-2	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	14	16209	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16209_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62LIR-GFP	repl2
CA93-3	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	15	16210	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16210_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sec62TMD-GFP	repl2
CA93-4	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	16	16211	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16211_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Sec62cyt107	repl2
CA93-5	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	17	16212	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16212_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Sec62cyt1107LIR	repl2
CA93-6	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	18	16213	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16213_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134B-GFP	repl2
CA93-7	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	19	16214	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16214_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134BLIR-GFP	repl2
CA93-8	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	20	16215	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16215_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fam134BTMD-GFP	repl2
CA93-9	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	21	16216	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16216_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Fam134Bcyt223	repl2
CA93-10	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	22	16217	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16217_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17-Fam134Bcyt223LIR	repl2
CA93-11	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	23	16218	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16218_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	GFP-TM17	repl2
CA93-12	Homo sapiens	embryonic kidney cell line	HEK293	not applicable	not applicable	not applicable	not applicable	24	16219	AC=PRIDE:0000664;NT=proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1003028;NT=Orbitrap Exploris 480	1	1	AC=MS:1001309;NT=Lys-C	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=fixed;TA=C	230718_Galli_16219_140min_5ul.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Tex264TMD-GFP	repl2
