source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120524_Renvoise_Triplex_rep1F4	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F4.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F06	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F06.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F06.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F02	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F02.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F02.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F9	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F9.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F9.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F08	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F08.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F08.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F8	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F8.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F9	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F9.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F9.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F01	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F01.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F01.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F7	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F7.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F7.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F11	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F12	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F6	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F6.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F6.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F07	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F12	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F10	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F04	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F04.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F04.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F09	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F09.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F09.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep3F10	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep3F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep3F10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep3F10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F3	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F3.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep1F12	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep1F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep1F12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep1F12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F06	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F06.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F06.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20120524_Renvoise_Triplex_rep2F6	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20120524_Renvoise_Triplex_rep2F6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20120524_Renvoise_Triplex_rep2F6.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20120524_Renvoise_Triplex_rep2F6.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
20121025_RENVOISE_rep4F11	saccharomyces cerevisiae	Cell culture	not applicable	not available	1	20121025_RENVOISE_rep4F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	10 ppm	1	1	20121025_RENVOISE_rep4F11.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD000714/20121025_RENVOISE_rep4F11.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
