source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
allSpectra.HCD.ITMS.iso_732.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_732.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_732.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_732.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_221.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_221.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_221.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_221.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_478.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_478.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_478.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_478.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_769.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_769.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_769.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_769.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1104.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1104.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1104.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1104.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_109.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_109.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_109.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_109.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1127.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1127.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1127.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1127.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1214.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1214.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1214.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1214.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_209.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_209.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_209.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_209.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_860.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_860.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_860.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_860.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_547.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_547.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_547.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_547.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_1119.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_1119.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_1119.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_1119.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_897.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_897.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_897.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_897.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_526.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_526.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_526.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_526.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
allSpectra.HCD.ITMS.iso_662.apl	saccharomyces cerevisiae	not available	not applicable	not available	1	allSpectra.HCD.ITMS.iso_662.apl	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	30% NCE	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	allSpectra.HCD.ITMS.iso_662.apl	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD019481/allSpectra.HCD.ITMS.iso_662.apl	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
