source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[tool metadata]
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02464_2p_ih25cm1_PM2_PRC-6517_Crabbe_12_20240908161302.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	12	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02464_2p_ih25cm1_PM2_PRC-6517_Crabbe_12_20240908161302.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02472_2p_ih25cm1_PM2_PRC-6517_Crabbe_15_20240909093658.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	15	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02472_2p_ih25cm1_PM2_PRC-6517_Crabbe_15_20240909093658.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02476_2p_ih25cm1_PM2_PRC-6517_Crabbe_17_20240911194812.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	17	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02476_2p_ih25cm1_PM2_PRC-6517_Crabbe_17_20240911194812.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02478_2p_ih25cm1_PM2_PRC-6517_Crabbe_18_20240911225254.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	18	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02478_2p_ih25cm1_PM2_PRC-6517_Crabbe_18_20240911225254.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02482_2p_ih25cm1_PM2_PRC-6517_Crabbe_19_20240912040239.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	19	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02482_2p_ih25cm1_PM2_PRC-6517_Crabbe_19_20240912040239.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02484_2p_ih25cm1_PM2_PRC-6517_Crabbe_20_20240912070740.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	20	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02484_2p_ih25cm1_PM2_PRC-6517_Crabbe_20_20240912070740.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02486_2p_ih25cm1_PM2_PRC-6517_Crabbe_21_20240912122633.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	21	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02486_2p_ih25cm1_PM2_PRC-6517_Crabbe_21_20240912122633.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02488_2p_ih25cm1_PM2_PRC-6517_Crabbe_22_20240912153127.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	22	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02488_2p_ih25cm1_PM2_PRC-6517_Crabbe_22_20240912153127.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02490_2p_ih25cm1_PM2_PRC-6517_Crabbe_23_20240912183612.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	23	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02490_2p_ih25cm1_PM2_PRC-6517_Crabbe_23_20240912183612.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02492_2p_ih25cm1_PM2_PRC-6517_Crabbe_24_20240912214106.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	24	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02492_2p_ih25cm1_PM2_PRC-6517_Crabbe_24_20240912214106.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02498_2p_ih25cm1_PM2_PRC-6517_Crabbe_26_20240911103321.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	26	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02498_2p_ih25cm1_PM2_PRC-6517_Crabbe_26_20240911103321.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02500_2p_ih25cm1_PM2_PRC-6517_Crabbe_27_20240911133814.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	27	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02500_2p_ih25cm1_PM2_PRC-6517_Crabbe_27_20240911133814.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02502_2p_ih25cm1_PM2_PRC-6517_Crabbe_28_20240911164312.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	28	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02502_2p_ih25cm1_PM2_PRC-6517_Crabbe_28_20240911164312.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02504_2p_ih25cm1_PM2_PRC-6517_Crabbe_29.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	29	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02504_2p_ih25cm1_PM2_PRC-6517_Crabbe_29.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02510_2p_ih25cm1_PM2_PRC-6517_Crabbe_31.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	31	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02510_2p_ih25cm1_PM2_PRC-6517_Crabbe_31.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02512_2p_ih25cm1_PM2_PRC-6517_Crabbe_32.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	32	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02512_2p_ih25cm1_PM2_PRC-6517_Crabbe_32.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02514_2p_ih25cm1_PM2_PRC-6517_Crabbe_33.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	33	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02514_2p_ih25cm1_PM2_PRC-6517_Crabbe_33.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02516_2p_ih25cm1_PM2_PRC-6517_Crabbe_34.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	34	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02516_2p_ih25cm1_PM2_PRC-6517_Crabbe_34.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02518_2p_ih25cm1_PM2_PRC-6517_Crabbe_35.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	2	35	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02518_2p_ih25cm1_PM2_PRC-6517_Crabbe_35.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_10.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	10	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_10.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_14.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	14	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_14.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_36.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	36	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_36.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_37_20240913121355.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	1	37	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_37_20240913121355.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_38_20240913151856.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	4	38	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_38_20240913151856.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_39_20240913182341.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	39	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_39_20240913182341.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_40.raw	Pseudomonas aeruginosa PAO1	not applicable	cystic fibrosis	3	40	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Anywhere; TA=C	10 ppm	20 ppm	1	1	S:\Proteomics\PRC\PRC-6517\PRC-6517DIA_UPRC_9606X02520_2p_ih25cm1_PM2_PRC-6517_Crabbe_40.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	lesSDRF v0.1.0
