source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample11	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay11	proteomic profiling by mass spectrometry	11	DDA_8X_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample12	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay12	proteomic profiling by mass spectrometry	12	DDA_2X_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample13	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay13	proteomic profiling by mass spectrometry	13	DDA_8X_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample14	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay14	proteomic profiling by mass spectrometry	14	Pool_DDA_R5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample15	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay15	proteomic profiling by mass spectrometry	15	Pool_DDA_R1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample16	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay16	proteomic profiling by mass spectrometry	16	DDA_Base_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	16	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample17	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay17	proteomic profiling by mass spectrometry	17	DDA_2X_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	17	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample18	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay18	proteomic profiling by mass spectrometry	18	DDA_4X_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	18	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample19	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay19	proteomic profiling by mass spectrometry	19	DDA_2X_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	19	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Sample20	Homo sapiens	tear fluid	not applicable	1	not available	not available	not available	not available	not available	Assay20	proteomic profiling by mass spectrometry	20	Pool_DDA_R3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion;AC=MS:1002416	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	20	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.6 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
