source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
shoot_21	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_21_RE5_1_7375	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_21_RE5_1_7375.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_22	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_22_RE6_1_7378	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_22_RE6_1_7378.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_23	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_23_RE7_1_7379	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_23_RE7_1_7379.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_24	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_24_RE8_1_7380	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_24_RE8_1_7380.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_02	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_2_RD2_1_7347	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_2_RD2_1_7347.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_03	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_3_RD3_1_7348	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_3_RD3_1_7348.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_04	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_4_RD4_1_7349	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_4_RD4_1_7349.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_06	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_6_RD5_1_7352	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_6_RD5_1_7352.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_07	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_7_RD6_1_7358	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_7_RD6_1_7358.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
shoot_08	Brachypodium distachyon	shoot system	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221208_A_MM_StS_DIA_SG_S_8_RD7_1_7359	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221208_A_MM_StS_DIA_SG_S_8_RD7_1_7359.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	shoot system
root_MF_10	Brachypodium distachyon	root	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221219_A_MM_StS_DIA_SG_R_MF_10_GA4_1_7449	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221219_A_MM_StS_DIA_SG_R_MF_10_GA4_1_7449.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	root
root_MF_11	Brachypodium distachyon	root	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221219_A_MM_StS_DIA_SG_R_MF_11_GA5_1_7454	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221219_A_MM_StS_DIA_SG_R_MF_11_GA5_1_7454.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	root
root_MF_12	Brachypodium distachyon	root	plant cell	normal	seedling development stage	Bd21-3	growth chamber 16 h light/8 h dark, 23C/18C, 100-140 umol m-2 s-1, 35-40% RH; quartz sand + modified Hoagland	not available	organism part	study sample	pooled	1	221219_A_MM_StS_DIA_SG_R_MF_12_GA6_1_7459	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=quadrupole time-of-flight instrument;AC=MS:1003763	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1200	25	not available	1	1	221219_A_MM_StS_DIA_SG_R_MF_12_GA6_1_7459.mzML.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	root
