source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
KS197	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS197	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS197.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS197.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS187_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS187_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS187_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS187_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS085	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS085	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS085.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS085.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS330_HCD	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS330_HCD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS330_HCD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS330_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS256	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS256	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS256.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS256.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS254	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS254	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS254.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS254.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS261	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS261	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS261.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS261.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS223	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS223	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS223.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS223.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS290	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS290	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS290.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS290.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS245	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS245	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS245.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS245.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS121_HCD_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS121_HCD_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS121_HCD_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS121_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS196	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS196	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS196.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS196.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS084	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS084	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS084.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS084.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS270	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS270	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS270.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS270.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS312_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS312_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS312_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS312_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS205	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS205	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS205.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS205.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS251_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS251_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS251_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS251_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS209_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS209_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS209_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS209_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS309	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS309	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS309.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS309.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS118_MSA	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	KS118_MSA	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS118_MSA.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS118_MSA.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS287_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS287_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS287_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS287_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
KS207_2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	2	KS207_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	2 Da	sds page	acrylamide (aa)	1	1	KS207_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003031/KS207_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
