source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	characteristics[host organism]	characteristics[microbiome source]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
LCA_infect_prot_D_A_S3_61_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S3_61_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S3_61_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S3_61_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S3_61_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S4_62_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S4_62_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S4_62_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S4_62_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S4_62_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S5_63_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S5_63_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S5_63_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S5_63_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S5_63_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S6_i_64_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S6_i_64_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S6_i_64_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S6_i_64_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S6_i_64_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S7_65_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S7_65_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S7_65_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S7_65_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S7_65_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S8_66_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S8_66_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S8_66_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S8_66_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S8_66_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_S9_67_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_S9_67_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_S9_67_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_S9_67_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_S9_67_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_D_A_T0_68_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	LCA_infect_prot_D_A_T0_68_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_D_A_T0_68_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_D_A_T0_68_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_D_A_T0_68_Eclip_FAIMS_Samwise_10Nov22_WBEH-22-11-09
LCA_infect_prot_J_B_S10_33_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S10_33_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S10_33_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S10_33_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S10_33_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S1_24_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S1_24_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S1_24_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S1_24_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S1_24_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S2_25_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S2_25_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S2_25_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S2_25_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S2_25_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S3_26_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S3_26_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S3_26_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S3_26_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S3_26_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S4_27_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S4_27_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S4_27_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S4_27_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S4_27_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S5_28_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S5_28_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S5_28_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S5_28_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S5_28_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S6_29_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S6_29_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S6_29_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S6_29_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S6_29_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S7_i_30_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S7_i_30_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S7_i_30_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S7_i_30_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S7_i_30_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S8_31_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S8_31_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S8_31_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S8_31_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S8_31_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_S9_32_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_S9_32_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_S9_32_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_S9_32_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_S9_32_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_J_B_T0_34_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_J_B_T0_34_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_J_B_T0_34_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_J_B_T0_34_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_J_B_T0_34_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S10_44_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S10_44_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S10_44_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S10_44_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S10_44_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S11_45_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S11_45_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S11_45_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S11_45_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S11_45_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S1_35_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S1_35_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S1_35_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S1_35_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S1_35_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S2_36_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S2_36_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S2_36_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S2_36_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S2_36_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S3_37_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S3_37_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S3_37_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S3_37_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S3_37_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S4_i_38_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S4_i_38_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S4_i_38_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S4_i_38_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S4_i_38_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
LCA_infect_prot_M_A_S5_39_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	LCA_infect_prot_M_A_S5_39_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	metagenome	not applicable	not applicable	not available	Deciphering_taxon-specific_metabolic_shifts_during_pathogenic_fungal_infection_in_leaf-cutter_ant_fungal_gardens	not available	not available	not available	not available	not available	not available	1	Atta cephalotes	leaf-cutter ant fungus garden microbiome	LCA_infect_prot_M_A_S5_39_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	LCA_infect_prot_M_A_S5_39_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	LCA_infect_prot_M_A_S5_39_Eclip_FAIMS_Samwise_28Oct22_WBEH-22-06-13
