source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD067792-Sample-11	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_061_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-006	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_061_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-006.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-12	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_064_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_064_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-1.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-13	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_065_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_065_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-14	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_073_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-007	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_073_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-007.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-15	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_076_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_076_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-16	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_079_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_079_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-17	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_085_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-008	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_085_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-008.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-18	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_086_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_086_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-90m-FCS-2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-19	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_088_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_088_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-00m-FCS-4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-20	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_090_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_090_30-0112_LudwigSinn-GEMS-Ribosomes_P01_PY6414-24h-Ctrl-4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD067792-Sample-21	Candida albicans	not available	fungal cell	not available	1	20240327_Z2_LRS_097_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-009	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	20240327_Z2_LRS_097_30-0112_LudwigSinn-GEMS-Ribosomes_P00_QC-009.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
