source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[organism part]
20230802_SRDB_Gerald_HypoKO_49	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	49	20230802_SRDB_Gerald_HypoKO_49	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoKO_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	hypothalamus
20230802_SRDB_Gerald_HypoWT_01	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	1	20230802_SRDB_Gerald_HypoWT_01	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoWT_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	hypothalamus
20230802_SRDB_Gerald_HypoWT_15	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	15	20230802_SRDB_Gerald_HypoWT_15	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoWT_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	hypothalamus
20230802_SRDB_Gerald_HypoWT_17	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	17	20230802_SRDB_Gerald_HypoWT_17	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoWT_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	hypothalamus
20230802_SRDB_Gerald_HypoWT_19	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	19	20230802_SRDB_Gerald_HypoWT_19	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoWT_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	hypothalamus
20230802_SRDB_Gerald_HypoWT_35	Mus musculus	hypothalamus	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	35	20230802_SRDB_Gerald_HypoWT_35	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_HypoWT_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	hypothalamus
20230802_SRDB_Gerald_LiverKO_03	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	3	20230802_SRDB_Gerald_LiverKO_03	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_12	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	12	20230802_SRDB_Gerald_LiverKO_12	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_13	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	13	20230802_SRDB_Gerald_LiverKO_13	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_36	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	36	20230802_SRDB_Gerald_LiverKO_36	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_39	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	39	20230802_SRDB_Gerald_LiverKO_39	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_48	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	48	20230802_SRDB_Gerald_LiverKO_48	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_49	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	49	20230802_SRDB_Gerald_LiverKO_49	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverKO_82	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	inceptor knockout	82	20230802_SRDB_Gerald_LiverKO_82	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverKO_82.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	inceptor knockout	liver
20230802_SRDB_Gerald_LiverWT_01	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	1	20230802_SRDB_Gerald_LiverWT_01	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverWT_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	liver
20230802_SRDB_Gerald_LiverWT_15	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	15	20230802_SRDB_Gerald_LiverWT_15	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverWT_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	liver
20230802_SRDB_Gerald_LiverWT_17	Mus musculus	liver	not applicable	tissue	insulin resistance	adult	not available	C57BL/6	wild type	17	20230802_SRDB_Gerald_LiverWT_17	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20230802_SRDB_Gerald_LiverWT_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	wild type	liver
