source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
2013101615	2013101615	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101615	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101615.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101616	2013101616	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101616	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101616.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101617	2013101617	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101617	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101617.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101618	2013101618	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101618	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101618.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Bag1	20131129_1799_Bag1	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Bag1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Bag1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Bag2	20131129_1799_Bag2	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Bag2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Bag2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Bag3	20131129_1799_Bag3	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Bag3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Bag3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Sigma1	20131129_1799_Sigma1	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Sigma1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Sigma1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Sigma2	20131129_1799_Sigma2	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Sigma2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Sigma2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20131129_1799_Sigma3	20131129_1799_Sigma3	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20131129_1799_Sigma3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20131129_1799_Sigma3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
