source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[material type]	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	28	A20240116zengl_ml_30min_iDIA_QCML_500ng_20240102ML_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240117zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	29	A20240117zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	30	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	31	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	32	A20240118zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	33	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	34	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	35	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	36	A20240120zengl_ml_30min_iDIA_QCML_500ng_20240102ML_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240123zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	37	A20240123zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
QCML pooled mouse liver digest	Mus musculus	liver	not available	tissue	1	not available	C57BL/6J	not available	A20240126zengl_ml_30min_iDIA_QCML_500ng_20240102ML	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	1	38	A20240126zengl_ml_30min_iDIA_QCML_500ng_20240102ML.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation
