source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20220916_EMH_D1-1_Phos_2ndincubFFrat_Spleen_R10_7600_ZS_1_08	rattus norvegicus	spleen	not applicable	not available	enrichment of phosphorylated protein	8	20220916_EMH_D1-1_Phos_2ndincubFFrat_Spleen_R10_7600_ZS_1_08	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220916_EMH_D1-1_Phos_2ndincubFFrat_Spleen_R10_7600_ZS_1_08.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220916_EMH_D1-1_Phos_2ndincubFFrat_Spleen_R10_7600_ZS_1_08.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	spleen
20220918_EMH_D1-1_Phos_1stincubFFrat_Kidney_R9_7600_ZS_1_72	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	72	20220918_EMH_D1-1_Phos_1stincubFFrat_Kidney_R9_7600_ZS_1_72	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220918_EMH_D1-1_Phos_1stincubFFrat_Kidney_R9_7600_ZS_1_72.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220918_EMH_D1-1_Phos_1stincubFFrat_Kidney_R9_7600_ZS_1_72.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20221108_EMH_D1-2_Phos_FFrat_Heart_R2_7600_I_1_11	rattus norvegicus	heart	not applicable	not available	enrichment of phosphorylated protein	11	20221108_EMH_D1-2_Phos_FFrat_Heart_R2_7600_I_1_11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221108_EMH_D1-2_Phos_FFrat_Heart_R2_7600_I_1_11.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221108_EMH_D1-2_Phos_FFrat_Heart_R2_7600_I_1_11.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
20220901_EMH_HEK_MS2acc01_100VW_7600_ZS	rattus norvegicus	not available	not applicable	not available	enrichment of phosphorylated protein	1	20220901_EMH_HEK_MS2acc01_100VW_7600_ZS	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220901_EMH_HEK_MS2acc01_100VW_7600_ZS.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220901_EMH_HEK_MS2acc01_100VW_7600_ZS.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R2_7600_ZS_1_14	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	14	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R2_7600_ZS_1_14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R2_7600_ZS_1_14.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R2_7600_ZS_1_14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R1_7600_ZS_1_05	rattus norvegicus	heart	not applicable	not available	enrichment of phosphorylated protein	5	20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R1_7600_ZS_1_05	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R1_7600_ZS_1_05.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Heart_R1_7600_ZS_1_05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	heart
20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Testis_R3_7600_ZS_1_07	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	7	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Testis_R3_7600_ZS_1_07	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Testis_R3_7600_ZS_1_07.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Testis_R3_7600_ZS_1_07.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20221108_EMH_D1-2_Phos_FFrat_Kidney_R3_7600_I_2_27	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	27	20221108_EMH_D1-2_Phos_FFrat_Kidney_R3_7600_I_2_27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221108_EMH_D1-2_Phos_FFrat_Kidney_R3_7600_I_2_27.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221108_EMH_D1-2_Phos_FFrat_Kidney_R3_7600_I_2_27.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R8_7600_ZS_1_61	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	61	20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R8_7600_ZS_1_61	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R8_7600_ZS_1_61.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Kidney_R8_7600_ZS_1_61.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20221108_EMH_D1-2_Phos_FFrat_Brain_R3_7600_I_1_18	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	18	20221108_EMH_D1-2_Phos_FFrat_Brain_R3_7600_I_1_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221108_EMH_D1-2_Phos_FFrat_Brain_R3_7600_I_1_18.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221108_EMH_D1-2_Phos_FFrat_Brain_R3_7600_I_1_18.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20221108_EMH_D1-2_Phos_FFrat_Lung_R1_7600_I_1_06	rattus norvegicus	lung	not applicable	not available	enrichment of phosphorylated protein	6	20221108_EMH_D1-2_Phos_FFrat_Lung_R1_7600_I_1_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221108_EMH_D1-2_Phos_FFrat_Lung_R1_7600_I_1_06.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221108_EMH_D1-2_Phos_FFrat_Lung_R1_7600_I_1_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	lung
20220912_EMH_D1-1_Prot_400ng_FFrat_Muscle_R5_7600_ZS_1_42	rattus norvegicus	muscle	not applicable	not available	enrichment of phosphorylated protein	42	20220912_EMH_D1-1_Prot_400ng_FFrat_Muscle_R5_7600_ZS_1_42	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Muscle_R5_7600_ZS_1_42.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Muscle_R5_7600_ZS_1_42.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	muscle
20220912_EMH_D1-1_Prot_400ng_FFrat_Spleen_R4_7600_ZS_1_32	rattus norvegicus	spleen	not applicable	not available	enrichment of phosphorylated protein	32	20220912_EMH_D1-1_Prot_400ng_FFrat_Spleen_R4_7600_ZS_1_32	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220912_EMH_D1-1_Prot_400ng_FFrat_Spleen_R4_7600_ZS_1_32.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220912_EMH_D1-1_Prot_400ng_FFrat_Spleen_R4_7600_ZS_1_32.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	spleen
20221108_EMH_D1-2_Phos_FFrat_Muscle_R3_7600_I_1_23	rattus norvegicus	muscle	not applicable	not available	enrichment of phosphorylated protein	23	20221108_EMH_D1-2_Phos_FFrat_Muscle_R3_7600_I_1_23	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20221108_EMH_D1-2_Phos_FFrat_Muscle_R3_7600_I_1_23.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20221108_EMH_D1-2_Phos_FFrat_Muscle_R3_7600_I_1_23.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	muscle
20220914_EMH_D1-1_Phos_2ndincubFFrat_Muscle_R4_7600_ZS_1_33	rattus norvegicus	muscle	not applicable	not available	enrichment of phosphorylated protein	33	20220914_EMH_D1-1_Phos_2ndincubFFrat_Muscle_R4_7600_ZS_1_33	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20220914_EMH_D1-1_Phos_2ndincubFFrat_Muscle_R4_7600_ZS_1_33.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20220914_EMH_D1-1_Phos_2ndincubFFrat_Muscle_R4_7600_ZS_1_33.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	muscle
20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R1_7600_ZS_1_18	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	18	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R1_7600_ZS_1_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=sciex instrument model;AC=MS:1000121	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R1_7600_ZS_1_18.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/06/PXD045472/20230307_EMH_D1-2_Phos_1stincubFFrat_50ug_Liver_R1_7600_ZS_1_18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
