source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
121126_OV3_P2_KG_SY_ptpBTryBio2_collected_08	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	8	121126_OV3_P2_KG_SY_ptpBTryBio2_collected_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_ptpBTryBio2_collected_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_ptpBTryBio2_collected_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121203_OV3_P2_KG_SY_ptpBTryBio1_collected_01	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121203_OV3_P2_KG_SY_ptpBTryBio1_collected_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121203_OV3_P2_KG_SY_ptpBTryBio1_collected_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121203_OV3_P2_KG_SY_ptpBTryBio1_collected_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120914_OV3_P5_KG_SY_ptpBTryBio3_collected_09	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	9	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120914_OV3_P5_KG_SY_ptpBTryBio3_collected_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120914_OV3_P5_KG_SY_ptpBTryBio3_collected_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_CID_TiO_WTBio4_3a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_3a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_3a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_CID_TiO_WTBio4_3a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120913_OV3_P5_KG_SY_WTBio1_collected_15	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	15	120913_OV3_P5_KG_SY_WTBio1_collected_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120913_OV3_P5_KG_SY_WTBio1_collected_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120913_OV3_P5_KG_SY_WTBio1_collected_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130310_OV2_P6_CH_SY_ptpBTryBio4_collected_05	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	5	130310_OV2_P6_CH_SY_ptpBTryBio4_collected_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130310_OV2_P6_CH_SY_ptpBTryBio4_collected_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130310_OV2_P6_CH_SY_ptpBTryBio4_collected_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_CID_TiO_WTBio4_5a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_5a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_5a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_CID_TiO_WTBio4_5a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_11a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_11a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_11a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_HCD_TiO_ptpBTryBio1_11a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130410_OV2_P6_CH_SY_CID_TiO_WTBio3_9c	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130410_OV2_P6_CH_SY_CID_TiO_WTBio3_9c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130410_OV2_P6_CH_SY_CID_TiO_WTBio3_9c.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130410_OV2_P6_CH_SY_CID_TiO_WTBio3_9c.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_15a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_15a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_15a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120914_OV3_P5_KG_SY_CID_TiO_ptpBTryBio3_15a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121126_OV3_P2_KG_SY_ptpBTryBio2_collected_21	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	21	121126_OV3_P2_KG_SY_ptpBTryBio2_collected_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121126_OV3_P2_KG_SY_ptpBTryBio2_collected_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121126_OV3_P2_KG_SY_ptpBTryBio2_collected_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4a	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130209_OV2_P6_CH_SY_CID_TiO_WTBio4_4a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121205_OV3_P2_KG_SY_WTBio2_collected_04	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	4	121205_OV3_P2_KG_SY_WTBio2_collected_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	121205_OV3_P2_KG_SY_WTBio2_collected_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/121205_OV3_P2_KG_SY_WTBio2_collected_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
130410_OV2_P6_CH_SY_WTBio3_collected_11	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	11	130410_OV2_P6_CH_SY_WTBio3_collected_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	130410_OV2_P6_CH_SY_WTBio3_collected_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/130410_OV2_P6_CH_SY_WTBio3_collected_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120913_OV3_P5_KG_SY_WTBio1_collected_17	staphylococcus aureus	not available	not applicable	not available	enrichment of phosphorylated protein	17	120913_OV3_P5_KG_SY_WTBio1_collected_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.005 Da	0.5 Da	24% NCE	sds page	1	1	120913_OV3_P5_KG_SY_WTBio1_collected_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD007167/120913_OV3_P5_KG_SY_WTBio1_collected_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
