source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
PXD021013-Sample-11	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02446d_GD12-TUM_HLA_144_01_01-3xHCD-1h-R4.raw	02446d_GD12-TUM_HLA_144_01_01-3xHCD-1h-R4.raw
PXD021013-Sample-12	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445a_BB1-TUM_HLA_13_01_01-DDA-1h-R1.raw	02445a_BB1-TUM_HLA_13_01_01-DDA-1h-R1.raw
PXD021013-Sample-13	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02446a_GD8-TUM_HLA_140_01_01-DDA-1h-R1.raw	02446a_GD8-TUM_HLA_140_01_01-DDA-1h-R1.raw
PXD021013-Sample-14	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445d_BE11-TUM_HLA_59_01_01-2xIT_2xHCD-1h-R4.raw	02445d_BE11-TUM_HLA_59_01_01-2xIT_2xHCD-1h-R4.raw
PXD021013-Sample-15	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445d_BA10-TUM_HLA_10_01_01-2xIT_2xHCD-1h-R4.raw	02445d_BA10-TUM_HLA_10_01_01-2xIT_2xHCD-1h-R4.raw
PXD021013-Sample-16	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02446d_GA8-TUM_HLA_104_01_01-3xHCD-1h-R4.raw	02446d_GA8-TUM_HLA_104_01_01-3xHCD-1h-R4.raw
PXD021013-Sample-17	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03035a_GF2-TUM_HLA2_62_01_01-3xHCD-1h-R1.raw	03035a_GF2-TUM_HLA2_62_01_01-3xHCD-1h-R1.raw
PXD021013-Sample-18	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03036a_BD5-TUM_HLA2_137_01_01-DDA-1h-R1.raw	03036a_BD5-TUM_HLA2_137_01_01-DDA-1h-R1.raw
PXD021013-Sample-19	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03035a_GD2-TUM_HLA2_38_01_01-DDA-1h-R1.raw	03035a_GD2-TUM_HLA2_38_01_01-DDA-1h-R1.raw
PXD021013-Sample-20	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02446d_GF6-TUM_HLA_162_01_01-3xHCD-1h-R4.raw	02446d_GF6-TUM_HLA_162_01_01-3xHCD-1h-R4.raw
PXD021013-Sample-21	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02446a_GG9-TUM_HLA_177_01_01-DDA-1h-R1.raw	02446a_GG9-TUM_HLA_177_01_01-DDA-1h-R1.raw
PXD021013-Sample-22	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445d_BB9-TUM_HLA_21_01_01-2xIT_2xHCD-1h-R4.raw	02445d_BB9-TUM_HLA_21_01_01-2xIT_2xHCD-1h-R4.raw
PXD021013-Sample-23	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445d_BB11-TUM_HLA_23_01_01-2xIT_2xHCD-1h-R4.raw	02445d_BB11-TUM_HLA_23_01_01-2xIT_2xHCD-1h-R4.raw
PXD021013-Sample-24	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445a_BE6-TUM_HLA_54_01_01-DDA-1h-R1.raw	02445a_BE6-TUM_HLA_54_01_01-DDA-1h-R1.raw
PXD021013-Sample-25	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445a_BE1-TUM_HLA_49_01_01-DDA-1h-R1.raw	02445a_BE1-TUM_HLA_49_01_01-DDA-1h-R1.raw
PXD021013-Sample-26	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/02445a_BC11-TUM_HLA_35_01_01-DDA-1h-R1.raw	02445a_BC11-TUM_HLA_35_01_01-DDA-1h-R1.raw
PXD021013-Sample-27	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03036a_BF1-TUM_HLA2_157_01_01-2xIT_2xHCD-1h-R1.raw	03036a_BF1-TUM_HLA2_157_01_01-2xIT_2xHCD-1h-R1.raw
PXD021013-Sample-28	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03035a_GG2-TUM_HLA2_74_01_01-DDA-1h-R1.raw	03035a_GG2-TUM_HLA2_74_01_01-DDA-1h-R1.raw
PXD021013-Sample-29	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03036a_BD7-TUM_HLA2_139_01_01-2xIT_2xHCD-1h-R1.raw	03036a_BD7-TUM_HLA2_139_01_01-2xIT_2xHCD-1h-R1.raw
PXD021013-Sample-30	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03036a_BD3-TUM_HLA2_135_01_01-2xIT_2xHCD-1h-R1.raw	03036a_BD3-TUM_HLA2_135_01_01-2xIT_2xHCD-1h-R1.raw
PXD021013-Sample-31	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03036a_BB12-TUM_HLA2_120_01_01-3xHCD-1h-R1.raw	03036a_BB12-TUM_HLA2_120_01_01-3xHCD-1h-R1.raw
PXD021013-Sample-32	homo sapiens	not applicable	not available	not available	not available	not available	1	cell	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001956;NT=unspecific cleavage	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	PXD021013/03035a_GE12-TUM_HLA2_60_01_01-2xIT_2xHCD-1h-R1.raw	03035a_GE12-TUM_HLA2_60_01_01-2xIT_2xHCD-1h-R1.raw
