source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
brain_wDahT_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=brain;AC=UBERON:0000955	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	wDahT	tissue	5	run_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample05.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
gut_dilp235_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235	tissue	1	run_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample36.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235T_rep1	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235T	tissue	1	run_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample31.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235T_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235T	tissue	2	run_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample32.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235T_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235T	tissue	3	run_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample33.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235T_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235T	tissue	4	run_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample34.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235T_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235T	tissue	5	run_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample35.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235_rep2	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235	tissue	2	run_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample37.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235_rep3	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235	tissue	3	run_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample38.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235_rep4	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235	tissue	4	run_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample39.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
gut_dilp235_rep5	NT=Drosophila melanogaster;AC=NCBITaxon:7227	NT=gut;AC=BTO:0000545	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	Dahomey	dilp235	tissue	5	run_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Sample40.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=gut;AC=BTO:0000545
