source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]
exp5_library_frac11	Homo sapiens	Hela cell	not available	1	spectral library	J_D190925_S601-Exp5-library11of12_MSG_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	11	J_D190925_S601-Exp5-library11of12_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp5_library_frac12	Homo sapiens	Hela cell	not available	1	spectral library	J_D190925_S601-Exp5-library12of12_MSG_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	12	J_D190925_S601-Exp5-library12of12_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
exp5_compound_33	Homo sapiens	Hela cell	not available	1	compound 33	J_D190927_S601-Exp5-33_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-33_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 33
exp5_compound_34	Homo sapiens	Hela cell	not available	1	compound 34	J_D190927_S601-Exp5-34_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-34_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 34
exp5_compound_35	Homo sapiens	Hela cell	not available	1	compound 35	J_D190927_S601-Exp5-35_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-35_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 35
exp5_compound_36	Homo sapiens	Hela cell	not available	1	compound 36	J_D190927_S601-Exp5-36_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-36_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 36
exp5_compound_37	Homo sapiens	Hela cell	not available	1	compound 37	J_D190927_S601-Exp5-37_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-37_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 37
exp5_compound_38	Homo sapiens	Hela cell	not available	1	compound 38	J_D190927_S601-Exp5-38_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-38_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 38
exp5_compound_39	Homo sapiens	Hela cell	not available	1	compound 39	J_D190927_S601-Exp5-39_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-39_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 39
exp5_compound_40	Homo sapiens	Hela cell	not available	1	compound 40	J_D190927_S601-Exp5-40_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-40_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 40
exp5_compound_41	Homo sapiens	Hela cell	not available	1	compound 41	J_D190927_S601-Exp5-41_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-41_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 41
exp5_compound_42	Homo sapiens	Hela cell	not available	1	compound 42	J_D190927_S601-Exp5-42_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-42_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 42
exp5_compound_43	Homo sapiens	Hela cell	not available	1	compound 43	J_D190927_S601-Exp5-43_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-43_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 43
exp5_compound_44	Homo sapiens	Hela cell	not available	1	compound 44	J_D190927_S601-Exp5-44_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-44_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 44
exp5_compound_45	Homo sapiens	Hela cell	not available	1	compound 45	J_D190927_S601-Exp5-45_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-45_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 45
exp5_compound_46	Homo sapiens	Hela cell	not available	1	compound 46	J_D190927_S601-Exp5-46_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-46_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 46
exp5_compound_47	Homo sapiens	Hela cell	not available	1	compound 47	J_D190927_S601-Exp5-47_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-47_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 47
exp5_compound_48	Homo sapiens	Hela cell	not available	1	compound 48	J_D190927_S601-Exp5-48_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-48_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 48
exp5_compound_49	Homo sapiens	Hela cell	not available	1	compound 49	J_D190927_S601-Exp5-49_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-49_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 49
exp5_compound_50	Homo sapiens	Hela cell	not available	1	compound 50	J_D190927_S601-Exp5-50_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-50_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 50
exp5_compound_51	Homo sapiens	Hela cell	not available	1	compound 51	J_D190927_S601-Exp5-51_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-51_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 51
exp5_compound_52	Homo sapiens	Hela cell	not available	1	compound 52	J_D190927_S601-Exp5-52_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-52_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 52
exp5_compound_53	Homo sapiens	Hela cell	not available	1	compound 53	J_D190927_S601-Exp5-53_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-53_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 53
exp5_compound_54	Homo sapiens	Hela cell	not available	1	compound 54	J_D190927_S601-Exp5-54_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-54_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 54
exp5_compound_55	Homo sapiens	Hela cell	not available	1	compound 55	J_D190927_S601-Exp5-55_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-55_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 55
exp5_compound_56	Homo sapiens	Hela cell	not available	1	compound 56	J_D190927_S601-Exp5-56_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-56_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 56
exp5_compound_57	Homo sapiens	Hela cell	not available	1	compound 57	J_D190927_S601-Exp5-57_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-57_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 57
exp5_compound_58	Homo sapiens	Hela cell	not available	1	compound 58	J_D190927_S601-Exp5-58_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-58_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 58
exp5_compound_59	Homo sapiens	Hela cell	not available	1	compound 59	J_D190927_S601-Exp5-59_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-59_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 59
exp5_compound_60	Homo sapiens	Hela cell	not available	1	compound 60	J_D190927_S601-Exp5-60_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-60_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 60
exp5_compound_61	Homo sapiens	Hela cell	not available	1	compound 61	J_D190927_S601-Exp5-61_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-61_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 61
exp5_compound_62	Homo sapiens	Hela cell	not available	1	compound 62	J_D190927_S601-Exp5-62_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-62_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 62
exp5_compound_63	Homo sapiens	Hela cell	not available	1	compound 63	J_D190927_S601-Exp5-63_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-63_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 63
exp5_compound_64	Homo sapiens	Hela cell	not available	1	compound 64	J_D190927_S601-Exp5-64_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D190927_S601-Exp5-64_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	compound 64
exp1_rapa_A	Homo sapiens	Hela cell	not available	1	rapamycin condition A	J_D191118_S618-Exp1-1A_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1A_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition A
exp1_rapa_B	Homo sapiens	Hela cell	not available	1	rapamycin condition B	J_D191118_S618-Exp1-1B_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1B_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition B
exp1_rapa_C	Homo sapiens	Hela cell	not available	1	rapamycin condition C	J_D191118_S618-Exp1-1C_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1C_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition C
exp1_rapa_D	Homo sapiens	Hela cell	not available	1	rapamycin condition D	J_D191118_S618-Exp1-1D_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1D_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition D
exp1_rapa_E	Homo sapiens	Hela cell	not available	1	rapamycin condition E	J_D191118_S618-Exp1-1E_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1E_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition E
exp1_rapa_F	Homo sapiens	Hela cell	not available	1	rapamycin condition F	J_D191118_S618-Exp1-1F_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	J_D191118_S618-Exp1-1F_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	rapamycin condition F
exp1_speclib_frac10	Homo sapiens	Hela cell	not available	1	spectral library	J_D191120_S618-Exp01-SpecLib-10of15_MHRM_R01_T0	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	10	J_D191120_S618-Exp01-SpecLib-10of15_MHRM_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	spectral library
