source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[depletion]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms1 scan range]	comment[ms2 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[depletion]	factor value[organism part]	factor value[treatment]
hippocampus sample31	Mus musculus	hippocampal formation	not applicable	31	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample31	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Drug Vehicle
hippocampus sample32	Mus musculus	hippocampal formation	not applicable	32	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample32	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Drug Vehicle
hippocampus sample33	Mus musculus	hippocampal formation	not applicable	33	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample33	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Drug Vehicle
hippocampus sample34	Mus musculus	hippocampal formation	not applicable	34	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample34	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Drug Vehicle
hippocampus sample35	Mus musculus	hippocampal formation	not applicable	35	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample35	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Drug Vehicle
hippocampus sample36	Mus musculus	hippocampal formation	not applicable	36	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample36	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Antisense Oligonucleotides
hippocampus sample37	Mus musculus	hippocampal formation	not applicable	37	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample37	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Antisense Oligonucleotides
hippocampus sample38	Mus musculus	hippocampal formation	not applicable	38	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample38	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Antisense Oligonucleotides
hippocampus sample39	Mus musculus	hippocampal formation	not applicable	39	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	8M8W	5xFAD	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample39	proteomic profiling by mass spectrometry	1	20240531_OA4_JaBa_SA_FAIMS40_J141_50UL_sample39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	8 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-31	380m/z-980m/z	150m/z-2000m/z	380	980	2	no depletion	hippocampal formation	Antisense Oligonucleotides
plasma sample11 neat	Mus musculus	blood plasma	not applicable	11	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_11_P01-G1_9676	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_11_P01-G1_9676.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Drug Vehicle
plasma sample12 neat	Mus musculus	blood plasma	not applicable	12	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_12_P01-G2_9677	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_12_P01-G2_9677.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Drug Vehicle
plasma sample13 neat	Mus musculus	blood plasma	not applicable	13	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_13_P01-G3_9678	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_13_P01-G3_9678.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Drug Vehicle
plasma sample14 neat	Mus musculus	blood plasma	not applicable	14	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_14_P01-G4_9679	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_14_P01-G4_9679.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Drug Vehicle
plasma sample15 neat	Mus musculus	blood plasma	not applicable	15	Alzheimer disease	Drug Vehicle	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_15_P01-G5_9680	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_15_P01-G5_9680.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Drug Vehicle
plasma sample16 neat	Mus musculus	blood plasma	not applicable	16	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_16_P01-G6_9681	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_16_P01-G6_9681.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Antisense Oligonucleotides
plasma sample17 neat	Mus musculus	blood plasma	not applicable	17	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_17_P01-G7_9682	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_17_P01-G7_9682.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Antisense Oligonucleotides
plasma sample18 neat	Mus musculus	blood plasma	not applicable	18	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_18_P01-G8_9683	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_18_P01-G8_9683.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Antisense Oligonucleotides
plasma sample19 neat	Mus musculus	blood plasma	not applicable	19	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_19_P01-G9_9684	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_19_P01-G9_9684.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Antisense Oligonucleotides
plasma sample20 neat	Mus musculus	blood plasma	not applicable	20	Alzheimer disease	Antisense Oligonucleotides	no depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_20_P01-G10_9685	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_Neat_20_P01-G10_9685.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	no depletion	blood plasma	Antisense Oligonucleotides
plasma sample11 perCA	Mus musculus	blood plasma	not applicable	11	Alzheimer disease	Drug Vehicle	depletion	adult	B6.Cg-Tg(APPSwFlLon,PSEN1*M146L*L286V)6799Vas/Mmjax	female	not available	5xFAD	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_PCA_11_P01-F1_9676	proteomic profiling by mass spectrometry	1	20240530_OA4_ViAl_SA_FAIMS40_A803_VA10c-20240529_JaBa_PCA_11_P01-F1_9676.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Astral;AC=MS:1003378	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	3 ppm	7 ppm	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=asymmetric track lossless time-of-flight analyzer;AC=MS:1003379	2024-05-30	380m/z-980m/z	150m/z-2000m/z	380	980	3	depletion	blood plasma	Drug Vehicle
