source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
130425_o1__03_ph130410_ot_LD20-1_B2	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__03_ph130410_ot_LD20-1_B2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__03_ph130410_ot_LD20-1_B2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__03_ph130410_ot_LD20-1_B2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__06_ph130410_ot_LD16-1_B5	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__06_ph130410_ot_LD16-1_B5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__06_ph130410_ot_LD16-1_B5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__06_ph130410_ot_LD16-1_B5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__32_ph130410_ot_LD08-5_B29	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__32_ph130410_ot_LD08-5_B29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__32_ph130410_ot_LD08-5_B29.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__32_ph130410_ot_LD08-5_B29.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__20_ph130410_ot_LD16-3_B18	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__20_ph130410_ot_LD16-3_B18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__20_ph130410_ot_LD16-3_B18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__20_ph130410_ot_LD16-3_B18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__18_ph130410_ot_LD04-3_B16	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__18_ph130410_ot_LD04-3_B16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__18_ph130410_ot_LD04-3_B16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__18_ph130410_ot_LD04-3_B16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__22_ph130410_ot_LD00-4_B20	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__22_ph130410_ot_LD00-4_B20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__22_ph130410_ot_LD00-4_B20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__22_ph130410_ot_LD00-4_B20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__05_ph130410_ot_LD00-1_B4	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__05_ph130410_ot_LD00-1_B4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__05_ph130410_ot_LD00-1_B4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__05_ph130410_ot_LD00-1_B4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__33_ph130410_ot_LD12-5_B30	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__33_ph130410_ot_LD12-5_B30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__33_ph130410_ot_LD12-5_B30.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__33_ph130410_ot_LD12-5_B30.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__15_ph130410_ot_LD00-3_B13	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__15_ph130410_ot_LD00-3_B13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__15_ph130410_ot_LD00-3_B13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__15_ph130410_ot_LD00-3_B13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
130425_o1__29_ph130410_ot_LD16-5_B26	ostreococcus tauri	Cell suspension culture	not applicable	not available	enrichment of phosphorylated protein	1	130425_o1__29_ph130410_ot_LD16-5_B26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	130425_o1__29_ph130410_ot_LD16-5_B26.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD001734/130425_o1__29_ph130410_ot_LD16-5_B26.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
