source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[filter size]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[depth]	factor value[collection date]
PXD009712_sample3	PXD009712_sample3	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st1_120m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_120m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	05/10/2011
PXD009712_sample3	PXD009712_sample3	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st1_120m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_120m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	05/10/2011
PXD009712_sample4	PXD009712_sample4	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	200 m	mesopelagic	0.2-3.0 micrometer	1	st1_200m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_200m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	200 m	05/10/2011
PXD009712_sample4	PXD009712_sample4	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	200 m	mesopelagic	0.2-3.0 micrometer	1	st1_200m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_200m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	200 m	05/10/2011
PXD009712_sample5	PXD009712_sample5	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	300 m	mesopelagic	0.2-3.0 micrometer	1	st1_300m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_300m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	300 m	05/10/2011
PXD009712_sample5	PXD009712_sample5	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	300 m	mesopelagic	0.2-3.0 micrometer	1	st1_300m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_300m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	300 m	05/10/2011
PXD009712_sample6	PXD009712_sample6	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	400 m	mesopelagic	0.2-3.0 micrometer	1	st1_400m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_400m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	400 m	05/10/2011
PXD009712_sample6	PXD009712_sample6	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	400 m	mesopelagic	0.2-3.0 micrometer	1	st1_400m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_400m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	400 m	05/10/2011
PXD009712_sample7	PXD009712_sample7	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	600 m	mesopelagic	0.2-3.0 micrometer	1	st1_600m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st1_600m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	600 m	05/10/2011
PXD009712_sample7	PXD009712_sample7	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	17 N, 154.4 W	05/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	600 m	mesopelagic	0.2-3.0 micrometer	1	st1_600m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st1_600m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	600 m	05/10/2011
PXD009712_sample8	PXD009712_sample8	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	10/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	40 m	epipelagic	0.2-3.0 micrometer	1	st3_040m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st3_040m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	40 m	10/10/2011
PXD009712_sample8	PXD009712_sample8	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	10/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	40 m	epipelagic	0.2-3.0 micrometer	1	st3_040m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st3_040m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	40 m	10/10/2011
PXD009712_sample9	PXD009712_sample9	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	10/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	60 m	epipelagic	0.2-3.0 micrometer	1	st3_060m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st3_060m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	60 m	10/10/2011
PXD009712_sample9	PXD009712_sample9	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	10/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	60 m	epipelagic	0.2-3.0 micrometer	1	st3_060m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st3_060m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	60 m	10/10/2011
PXD009712_sample10	PXD009712_sample10	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st3_120m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st3_120m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	09/10/2011
PXD009712_sample10	PXD009712_sample10	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	120 m	epipelagic	0.2-3.0 micrometer	1	st3_120m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st3_120m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	120 m	09/10/2011
PXD009712_sample11	PXD009712_sample11	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	150 m	epipelagic	0.2-3.0 micrometer	1	st3_150m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st3_150m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	150 m	09/10/2011
PXD009712_sample11	PXD009712_sample11	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	150 m	epipelagic	0.2-3.0 micrometer	1	st3_150m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st3_150m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	150 m	09/10/2011
PXD009712_sample12	PXD009712_sample12	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	200 m	mesopelagic	0.2-3.0 micrometer	1	st3_200m_CID	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	1	1	st3_200m_CID.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	200 m	09/10/2011
PXD009712_sample12	PXD009712_sample12	marine metagenome	not applicable	not applicable	not applicable	METZYME_KM1128	sea water	sea water	8 N, 156 W	09/10/2011	McLane in situ pump filtration; 0.2-3.0 micrometer size fraction on 142 mm Supor filters (METZYME KM1128)	200 m	mesopelagic	0.2-3.0 micrometer	1	st3_200m_HCD	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	not available	1	2	st3_200m_HCD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	200 m	09/10/2011
