source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[metronidazole resistant]	characteristics[treated]	characteristics[control]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
MS-19-045b-11	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6	3	No	No	Yes	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-12	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M2	3	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-13	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1NR	3	No	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-14	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	3	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-15	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	3	Yes	Yes	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-16	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6	4	No	No	Yes	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-17	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M2	4	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-18	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1NR	4	No	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-19	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	4	Yes	No	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
MS-19-045b-20	Giardia duodenalis	not applicable	Trophozoite	Giardiasis	WB-C6-M1	4	Yes	Yes	No	LC-MS	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive Plus	NT=label free sample;AC=MS:1002038	NT=Trypsin	1	1	MS-19-045b-20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0
