source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
aptamer_E3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E3 pulldown	13	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_E3_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E3 pulldown
aptamer_E3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E3 pulldown	13	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	3	1	Aptamer_E3_Band_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E3 pulldown
aptamer_E3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer E3 pulldown	13	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	4	1	Aptamer_E3_Band_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer E3 pulldown
aptamer_F1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer F1 pulldown	14	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_F1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer F1 pulldown
aptamer_G1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G1 pulldown	15	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_G1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G1 pulldown
aptamer_G2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G2 pulldown	16	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_G2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G2 pulldown
aptamer_G2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G2 pulldown	16	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_G2_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G2 pulldown
aptamer_G2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G2 pulldown	16	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	3	1	Aptamer_G2_Band_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G2 pulldown
aptamer_G2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G2 pulldown	16	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	4	1	Aptamer_G2_Band_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G2 pulldown
aptamer_G3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer G3 pulldown	17	run 30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_G3_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer G3 pulldown
