source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[protease details]	comment[enzyme to substrate ratio]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[chemical treatment]	factor value[cleavage agent]	factor value[chemical treatment]
HEK293T_rChymo_NAM_0mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	rChy_0mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_0mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 0 mM	Chymotrypsin	nicotinamide 0 mM
HEK293T_rChymo_NAM_0mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	rChy_0mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_0mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 0 mM	Chymotrypsin	nicotinamide 0 mM
HEK293T_rChymo_NAM_3mM_rep1	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	1	not applicable	rChy_3mM_NAM_01.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_3mM_NAM_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Chymotrypsin	nicotinamide 3 mM
HEK293T_rChymo_NAM_3mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	rChy_3mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_3mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Chymotrypsin	nicotinamide 3 mM
HEK293T_rChymo_NAM_3mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	rChy_3mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_3mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Chymotrypsin	nicotinamide 3 mM
HEK293T_rChymo_NAM_10mM_rep1	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	1	not applicable	rChy_10mM_NAM_01.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_10mM_NAM_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Chymotrypsin	nicotinamide 10 mM
HEK293T_rChymo_NAM_10mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	rChy_10mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_10mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Chymotrypsin	nicotinamide 10 mM
HEK293T_rChymo_NAM_10mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	rChy_10mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Chymotrypsin	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	rChy_10mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Chymotrypsin;AC=MS:1001306	1:10	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Chymotrypsin	nicotinamide 10 mM
HEK293T_ArgC_NAM_0mM_rep1	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	1	not applicable	ArgC_0mM_NAM_01.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_0mM_NAM_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 0 mM	Arg-C	nicotinamide 0 mM
HEK293T_ArgC_NAM_0mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	ArgC_0mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_0mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 0 mM	Arg-C	nicotinamide 0 mM
HEK293T_ArgC_NAM_0mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	ArgC_0mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_0mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 0 mM	Arg-C	nicotinamide 0 mM
HEK293T_ArgC_NAM_3mM_rep1	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	1	not applicable	ArgC_3mM_NAM_01.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_3mM_NAM_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Arg-C	nicotinamide 3 mM
HEK293T_ArgC_NAM_3mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	ArgC_3mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_3mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Arg-C	nicotinamide 3 mM
HEK293T_ArgC_NAM_3mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	ArgC_3mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_3mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 3 mM	Arg-C	nicotinamide 3 mM
HEK293T_ArgC_NAM_10mM_rep1	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	1	not applicable	ArgC_10mM_NAM_01.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_10mM_NAM_01.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Arg-C	nicotinamide 10 mM
HEK293T_ArgC_NAM_10mM_rep2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	2	not applicable	ArgC_10mM_NAM_02.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_10mM_NAM_02.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Arg-C	nicotinamide 10 mM
HEK293T_ArgC_NAM_10mM_rep3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	not available	not available	not available	3	not applicable	ArgC_10mM_NAM_03.raw	proteomic profiling by mass spectrometry	Data-dependent acquisition	Orbitrap Fusion Lumos	NT=label free sample;AC=MS:1002038	Arg-C	NT=Oxidation;MT=Variable;PP=Anywhere;AC=UNIMOD:35;TA=M	10 ppm	20 ppm	1	1	ArgC_10mM_NAM_03.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=Arg-C;AC=MS:1001303	1:50	NT=Acetyl;MT=variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dehydrated;MT=variable;PP=Peptide N-term;AC=UNIMOD:23;TA=E,S	NT=Methyl;MT=variable;PP=Anywhere;AC=UNIMOD:34;TA=K	NT=Dimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:36;TA=K	NT=Trimethyl;MT=variable;PP=Anywhere;AC=UNIMOD:37;TA=K	NT=Acetyl;MT=variable;PP=Anywhere;AC=UNIMOD:1;TA=K	NT=Succinyl;MT=variable;PP=Anywhere;AC=UNIMOD:64;TA=K	not applicable	not applicable	not applicable	nicotinamide 10 mM	Arg-C	nicotinamide 10 mM
