source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b8_4_eb07381	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b8_4_eb07381	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b8_4_eb07381.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b8_4_eb07381.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a2_13_eb06919	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a2_13_eb06919	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a2_13_eb06919.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a2_13_eb06919.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a5_12_eb05920	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a5_12_eb05920	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a5_12_eb05920.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a5_12_eb05920.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b9_3_ec05726	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b9_3_ec05726	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b9_3_ec05726.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b9_3_ec05726.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
d2_eb02915	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	d2_eb02915	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	d2_eb02915.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/d2_eb02915.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a15_9_eb07632	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a15_9_eb07632	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a15_9_eb07632.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a15_9_eb07632.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a1_11_eb07471	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a1_11_eb07471	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a1_11_eb07471.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a1_11_eb07471.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
e5_eb02983	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	e5_eb02983	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	e5_eb02983.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/e5_eb02983.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
g5_eb07969	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	g5_eb07969	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	g5_eb07969.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/g5_eb07969.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a2_9_eb06915	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a2_9_eb06915	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a2_9_eb06915.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a2_9_eb06915.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a11_13_eb07520	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a11_13_eb07520	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a11_13_eb07520.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a11_13_eb07520.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
a12_3_eb07657	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	a12_3_eb07657	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	a12_3_eb07657.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/a12_3_eb07657.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b8_12_eb07389	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b8_12_eb07389	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b8_12_eb07389.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b8_12_eb07389.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
b10_8_eb07436	homo sapiens	serum	K562	not available	enrichment of phosphorylated protein	K562	CVCL_0004	K562	1	b10_8_eb07436	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap eclipse;AC=MS:1003029	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	0.02 Da	0.5 Da	36% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	1	1	b10_8_eb07436.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD048009/b10_8_eb07436.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
