source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
120725_DML12_15	Mus musculus	heart	not applicable	not available	15	120725_DML12_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
111028_DML2_33	Mus musculus	heart	not applicable	not available	33	111028_DML2_33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111028_DML2_33.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/111028_DML2_33.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120813_DML12_IEF_9	Mus musculus	heart	not applicable	not available	9	120813_DML12_IEF_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120813_DML12_IEF_9.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120813_DML12_IEF_9.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120808_DML11_IEF_24	Mus musculus	heart	not applicable	not available	24	120808_DML11_IEF_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120808_DML11_IEF_24.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120808_DML11_IEF_24.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120808_DML11_IEF_3	Mus musculus	heart	not applicable	not available	3	120808_DML11_IEF_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120808_DML11_IEF_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120808_DML11_IEF_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120625_DML11_3_120626131416	Mus musculus	heart	not applicable	not available	1	120625_DML11_3_120626131416	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120625_DML11_3_120626131416.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120625_DML11_3_120626131416.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
111115_DML8_2_30	Mus musculus	heart	not applicable	not available	30	111115_DML8_2_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111115_DML8_2_30.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/111115_DML8_2_30.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120625_DML11_14_120628025350	Mus musculus	heart	not applicable	not available	1	120625_DML11_14_120628025350	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120625_DML11_14_120628025350.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120625_DML11_14_120628025350.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120725_DML12_21_120802125749	Mus musculus	heart	not applicable	not available	1	120725_DML12_21_120802125749	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_21_120802125749.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_21_120802125749.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120725_DML12_37	Mus musculus	heart	not applicable	not available	37	120725_DML12_37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_37.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_37.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
