source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
PXD002767-Sample-11	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 11	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K4_1b.raw	Sar_K4_1b.raw
PXD002767-Sample-12	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 12	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S120_2385_2.raw	Kur_S120_2385_2.raw
PXD002767-Sample-13	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 13	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S120_2385_3.raw	Kur_S120_2385_3.raw
PXD002767-Sample-14	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 14	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K16_2b.raw	Sar_K16_2b.raw
PXD002767-Sample-15	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 15	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K65_4b.raw	Sar_K65_4b.raw
PXD002767-Sample-16	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 16	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K120_1.raw	Sar_K120_1.raw
PXD002767-Sample-17	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 17	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_S65_2342_3.raw	Sar_S65_2342_3.raw
PXD002767-Sample-18	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 18	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S16_2284_1.raw	Kur_S16_2284_1.raw
PXD002767-Sample-19	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 19	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S258_2435_2.raw	Kur_S258_2435_2.raw
PXD002767-Sample-20	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 20	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Bin_K4_3.raw	Bin_K4_3.raw
PXD002767-Sample-21	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 21	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_S16_2293_3.raw	Sar_S16_2293_3.raw
PXD002767-Sample-22	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 22	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_S16_2293_2.raw	Sar_S16_2293_2.raw
PXD002767-Sample-23	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 23	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S16_2282_2.raw	Kur_S16_2282_2.raw
PXD002767-Sample-24	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 24	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K65_3b.raw	Sar_K65_3b.raw
PXD002767-Sample-25	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 25	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_S120_2394_1.raw	Sar_S120_2394_1.raw
PXD002767-Sample-26	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 26	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_K16_4.raw	Kur_K16_4.raw
PXD002767-Sample-27	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 27	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_S258_2437_4.raw	Kur_S258_2437_4.raw
PXD002767-Sample-28	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 28	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K258_1b.raw	Sar_K258_1b.raw
PXD002767-Sample-29	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 29	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_K258_1.raw	Kur_K258_1.raw
PXD002767-Sample-30	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 30	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K258_1.raw	Sar_K258_1.raw
PXD002767-Sample-31	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 31	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Kur_K120_1.raw	Kur_K120_1.raw
PXD002767-Sample-32	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 32	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Sar_K120_3b.raw	Sar_K120_3b.raw
PXD002767-Sample-33	Solanum tuberosum	leaf	not available	not available	not available	not available	1	tissue	not available	not available	run 33	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	./PXD002767/Bin_S120_2361_4.raw	Bin_S120_2361_4.raw
