source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[experimental model]	factor value[compound]
Primary-MC-noE2-bio2	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	2	run 2023_0628_0092_AC1_11_Primary_MC_Bio3_200ng_15Da_S1-E1_1_1371	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0092_AC1_11_Primary_MC_Bio3_200ng_15Da_S1-E1_1_1371.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	not applicable
Primary-MC-E2-bio2	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	2	run 2023_0628_0093_AC1_12_Primary_MC_BEst_Bio2_200ng_15Da_S1-E2_1_1372	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0093_AC1_12_Primary_MC_BEst_Bio2_200ng_15Da_S1-E2_1_1372.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	17beta-estradiol
Primary-MC-noE2-bio3	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	3	run 2023_0628_0098_AC1_19_Primary_MC_Bio3_200ng_15Da_S1-F1_1_1377	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0098_AC1_19_Primary_MC_Bio3_200ng_15Da_S1-F1_1_1377.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	not applicable
Primary-MC-E2-bio3	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	3	run 2023_0628_0099_AC1_20_Primary_MC_BEst_Bio3_200ng_15Da_S1-F2_1_1378	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0099_AC1_20_Primary_MC_BEst_Bio3_200ng_15Da_S1-F2_1_1378.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	17beta-estradiol
Primary-MC-noE2-bio4	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	4	run 2023_0628_0080_AC1_27_Primary_MC_Bio4_200ng_15Da_S1-C1_1_1359	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0080_AC1_27_Primary_MC_Bio4_200ng_15Da_S1-C1_1_1359.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	not applicable
Primary-MC-E2-bio4	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	17beta-estradiol	4	run 2023_0628_0081_AC1_28_Primary_MC_Best_Bio4_200ng_15Da_S1-C2_1_1360	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0081_AC1_28_Primary_MC_Best_Bio4_200ng_15Da_S1-C2_1_1360.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary multicompartment organoid	17beta-estradiol
Primary-standard-bio1	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	1	run 2023_0628_0088_AC1_5_Primary_Standard_Bio1_200ng_15Da_S1-D3_1_1367	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0088_AC1_5_Primary_Standard_Bio1_200ng_15Da_S1-D3_1_1367.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary standard organoid	not applicable
Primary-standard-bio2	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	2	run 2023_0628_0094_AC1_13_Primary_Standard_Bio2_200ng_15Da_S1-E3_1_1373	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0094_AC1_13_Primary_Standard_Bio2_200ng_15Da_S1-E3_1_1373.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary standard organoid	not applicable
Primary-standard-bio3	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	3	run 2023_0628_0100_AC1_21_Primary_Standard_Bio3_200ng_15Da_S1-F3_1_1379	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0100_AC1_21_Primary_Standard_Bio3_200ng_15Da_S1-F3_1_1379.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary standard organoid	not applicable
Primary-standard-bio4	Homo sapiens	fallopian tube	epithelial cell	normal	adult	not available	female	not available	not available	cell	not applicable	4	run 2023_0628_0082_AC1_29_Primary_Standard_Bio4_200ng_15Da_S1-C3_1_1361	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0082_AC1_29_Primary_Standard_Bio4_200ng_15Da_S1-C3_1_1361.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	primary standard organoid	not applicable
Collagen6mg-bio1	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not available	not available	synthetic	not applicable	1	run 2023_0628_0110_AC1_1_6mg_Coll_Bio1_200ng_15Da_S1-D8_1_1389	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0110_AC1_1_6mg_Coll_Bio1_200ng_15Da_S1-D8_1_1389.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	6 mg/mL collagen I	not applicable
Collagen6mg-bio2	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not available	not available	synthetic	not applicable	2	run 2023_0628_0114_AC1_9_6mg_Coll_Bio2_200ng_15Da_S1-E8_1_1393	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0114_AC1_9_6mg_Coll_Bio2_200ng_15Da_S1-E8_1_1393.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	6 mg/mL collagen I	not applicable
Collagen6mg-bio3	not applicable	not applicable	not applicable	not applicable	not applicable	not available	not applicable	not available	not available	synthetic	not applicable	3	run 2023_0628_0118_AC1_17_6mg_Coll_Bio3_200ng_15Da_S1-F8_1_1397	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	20 eV;59 eV	not available	not available	15	305.9	1250.9	1	1	2023_0628_0118_AC1_17_6mg_Coll_Bio3_200ng_15Da_S1-F8_1_1397.d	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	6 mg/mL collagen I	not applicable
