source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[label]	comment[fraction identifier]	comment[instrument]	comment[data file]	comment[file uri]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[condition]
Sample_B_swap2_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 7	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD808.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD808.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_swap2
Sample_A_MS2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	eJD905.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD905.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_MS2
Sample_B_MS2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	eJD905.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD905.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_MS2
Sample_C_MS2_rep1	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 8	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	eJD905.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD905.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_MS2
Sample_A_MS2_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	eJD906.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD906.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_MS2
Sample_B_MS2_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	eJD906.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD906.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_MS2
Sample_C_MS2_rep2	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 9	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	eJD906.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD906.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_MS2
Sample_A_MS2_rep3	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	eJD907.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD907.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A_MS2
Sample_B_MS2_rep3	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	eJD907.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD907.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_MS2
Sample_C_MS2_rep3	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 10	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	eJD907.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD907.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C_MS2
CDC_G1_MS1_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	eJD903_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD903_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_G1_MS1
CDC_S_MS1_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	eJD903_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD903_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_S_MS1
CDC_G2M_MS1_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	eJD903_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD903_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_G2M_MS1
CDC_G1_MS2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	eJD904_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD904_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_G1_MS2
CDC_S_MS2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	eJD904_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD904_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_S_MS2
CDC_G2M_MS2_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	eJD904_re.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/eJD904_re.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	CDC_G2M_MS2
