source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	21	1	Yeast_XP_SDS_lysc_021.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	22	1	Yeast_XP_SDS_lysc_022.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	23	1	Yeast_XP_SDS_lysc_023.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	24	1	Yeast_XP_SDS_lysc_024.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	25	1	Yeast_XP_SDS_lysc_025.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	26	1	Yeast_XP_SDS_lysc_026.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	27	1	Yeast_XP_SDS_trypsin_027.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Trypsin)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	28	1	Yeast_XP_SDS_trypsin_028.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Trypsin)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	29	1	Yeast_XP_SDS_trypsin_029.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Trypsin)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	30	1	Yeast_XP_SDS_trypsin_030.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Trypsin)
