source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample name]	characteristics[environmental medium]	characteristics[project name]	characteristics[geographic location]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[gastrointestinal tract disorder]	characteristics[antibiotic treatment]	characteristics[sample storage]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[sample storage temperature]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Q08038_Micropoly_11	human gut metagenome	feces	1	Q08038_Micropoly_11	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08038_Micropoly_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08038_Micropoly_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08037_Micropoly_12	human gut metagenome	feces	1	Q08037_Micropoly_12	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08037_Micropoly_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08037_Micropoly_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08040_Micropoly_13	human gut metagenome	feces	1	Q08040_Micropoly_13	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08040_Micropoly_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08040_Micropoly_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08039_Micropoly_14	human gut metagenome	feces	1	Q08039_Micropoly_14	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08039_Micropoly_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08039_Micropoly_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08042_Micropoly_15	human gut metagenome	feces	1	Q08042_Micropoly_15	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08042_Micropoly_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08042_Micropoly_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08041_Micropoly_16	human gut metagenome	feces	1	Q08041_Micropoly_16	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08041_Micropoly_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08041_Micropoly_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08044_Micropoly_17	human gut metagenome	feces	1	Q08044_Micropoly_17	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08044_Micropoly_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08044_Micropoly_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08043_Micropoly_18	human gut metagenome	feces	1	Q08043_Micropoly_18	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08043_Micropoly_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08043_Micropoly_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08046_Micropoly_19	human gut metagenome	feces	1	Q08046_Micropoly_19	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08046_Micropoly_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08046_Micropoly_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08045_Micropoly_20	human gut metagenome	feces	1	Q08045_Micropoly_20	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08045_Micropoly_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08045_Micropoly_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08051_Micropoly_21_b	human gut metagenome	feces	1	Q08051_Micropoly_21_b	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08051_Micropoly_21_b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08051_Micropoly_21_b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08050_Micropoly_22_b	human gut metagenome	feces	1	Q08050_Micropoly_22_b	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08050_Micropoly_22_b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08050_Micropoly_22_b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08053_Micropoly_23	human gut metagenome	feces	1	Q08053_Micropoly_23	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08053_Micropoly_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08053_Micropoly_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
Q08052_Micropoly_24	human gut metagenome	feces	1	Q08052_Micropoly_24	feces	NCT01961310	French Republic	Homo sapiens	not available	not available	large intestine	feces	not available	not available	-80C	Q08052_Micropoly_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not applicable	-80 °C	NT=HCD;AC=MS:1000422	5 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	Q08052_Micropoly_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation
