source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[sample type]
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f1_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	1	1	TTA20140926_Halo_OGE_f1_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f1_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	1	2	TTA20140926_Halo_OGE_f1_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f2_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	2	1	TTA20140926_Halo_OGE_f2_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f2_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	2	2	TTA20140926_Halo_OGE_f2_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f3_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	3	1	TTA20140926_Halo_OGE_f3_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f3_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	3	2	TTA20140926_Halo_OGE_f3_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f4_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	4	1	TTA20140926_Halo_OGE_f4_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f4_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	4	2	TTA20140926_Halo_OGE_f4_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f5_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	5	1	TTA20140926_Halo_OGE_f5_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f5_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	5	2	TTA20140926_Halo_OGE_f5_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f06_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	6	1	TTA20140926_Halo_OGE_f06_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f06_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	6	2	TTA20140926_Halo_OGE_f06_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f07_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	7	1	TTA20140926_Halo_OGE_f07_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f07_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	7	2	TTA20140926_Halo_OGE_f07_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f08_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	8	1	TTA20140926_Halo_OGE_f08_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f08_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	8	2	TTA20140926_Halo_OGE_f08_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f09_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	9	1	TTA20140926_Halo_OGE_f09_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f09_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	9	2	TTA20140926_Halo_OGE_f09_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f10_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	10	1	TTA20140926_Halo_OGE_f10_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f10_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	10	2	TTA20140926_Halo_OGE_f10_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f11_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	11	1	TTA20140926_Halo_OGE_f11_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f11_r02	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	11	2	TTA20140926_Halo_OGE_f11_r02.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
Halo_OGE_pool	Halobacterium salinarum	not applicable	not applicable	normal	not available	not available	not available	NRC-1	cell	1	TTA20140926_Halo_OGE_f12_r01	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	off-gel electrophoresis	20 ppm	0.05 Da	12	1	TTA20140926_Halo_OGE_f12_r01.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	OGE fractionated lysate
