source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
P6_11_12	Capra hircus	Epithelial cell	not applicable	not available	12	P6_11_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_11_12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_11_12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_05_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_05_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_05_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_05_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_08_10	Capra hircus	Epithelial cell	not applicable	not available	10	P6_08_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_08_10.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_08_10.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_01_04	Capra hircus	Epithelial cell	not applicable	not available	4	P5_01_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_01_04.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_01_04.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_14	Capra hircus	Epithelial cell	not applicable	not available	14	P5_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_14.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_14.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_14	Capra hircus	Epithelial cell	not applicable	not available	14	P6_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_14.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_14.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_21_23	Capra hircus	Epithelial cell	not applicable	not available	23	P6_21_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_21_23.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_21_23.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_09_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_09_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_09_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_09_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_18	Capra hircus	Epithelial cell	not applicable	not available	18	P5_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_18.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_18.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_05_07	Capra hircus	Epithelial cell	not applicable	not available	7	P6_05_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_05_07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_05_07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_13	Capra hircus	Epithelial cell	not applicable	not available	13	P5_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_13.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_13.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P6_01_04	Capra hircus	Epithelial cell	not applicable	not available	4	P6_01_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P6_01_04.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P6_01_04.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_21_23	Capra hircus	Epithelial cell	not applicable	not available	23	P5_21_23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_21_23.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_21_23.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_11_12	Capra hircus	Epithelial cell	not applicable	not available	12	P3_11_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_11_12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_11_12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_11_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_11_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_11_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_11_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_11_12	Capra hircus	Epithelial cell	not applicable	not available	12	P5_11_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_11_12.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_11_12.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P3_19_20	Capra hircus	Epithelial cell	not applicable	not available	20	P3_19_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P3_19_20.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P3_19_20.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_17	Capra hircus	Epithelial cell	not applicable	not available	17	P5_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_17.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_17.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
Besma_02_Q	Capra hircus	Epithelial cell	not applicable	not available	1	Besma_02_Q	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Besma_02_Q.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/Besma_02_Q.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
P5_05_07	Capra hircus	Epithelial cell	not applicable	not available	7	P5_05_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	P5_05_07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001039/P5_05_07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
