source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
3xTg_M18	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	18	20171019_Paula_circadian_AD_group2-1_hippocampus_M018	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M018.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M2	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	2	20171019_Paula_circadian_AD_group2-1_hippocampus_M002	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M002.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M5	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	5	20171019_Paula_circadian_AD_group2-1_hippocampus_M005	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M005.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M631	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	631	20171019_Paula_circadian_AD_group2-1_hippocampus_M631	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M631.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M650	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	650	20171019_Paula_circadian_AD_group2-1_hippocampus_M650	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M650.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M10	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	10	20171019_Paula_circadian_AD_group2-1_hippocampus_M010	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M010.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M4	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	4	20171019_Paula_circadian_AD_group2-1_hippocampus_M004	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M004.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M636	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	636	20171019_Paula_circadian_AD_group2-1_hippocampus_M636	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M636.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M20	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	20	20171019_Paula_circadian_AD_group2-1_hippocampus_M020	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M635	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	635	20171019_Paula_circadian_AD_group2-1_hippocampus_M635	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M635.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M8	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	8	20171019_Paula_circadian_AD_group2-1_hippocampus_M008	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M008.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M17	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	17	20171019_Paula_circadian_AD_group2-1_hippocampus_M017	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171019_Paula_circadian_AD_group2-1_hippocampus_M017.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
3xTg_M11	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	not available	not available	3xTg-AD	11	20171027_Paula_circadian_AD_group2-1_hippocampus_M011	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20171027_Paula_circadian_AD_group2-1_hippocampus_M011.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Alzheimer disease
