source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[age]
N2-day04-r3	Caenorhabditis elegans	whole organism	not applicable	normal	adult	4D	N2	whole organism	3	run Yifan_14	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	4D
N2-day08-r3	Caenorhabditis elegans	whole organism	not applicable	normal	adult	8D	N2	whole organism	3	run Yifan_15	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	8D
N2-day11-r3	Caenorhabditis elegans	whole organism	not applicable	normal	adult	11D	N2	whole organism	3	run Yifan_16	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	11D
N2-day13-r3	Caenorhabditis elegans	whole organism	not applicable	normal	adult	13D	N2	whole organism	3	run Yifan_17	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	13D
N2-day15-r3	Caenorhabditis elegans	whole organism	not applicable	normal	adult	15D	N2	whole organism	3	run Yifan_18	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	15D
N2-day01-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	1D	N2	whole organism	4	run Yifan_19	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_19.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	1D
N2-day04-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	4D	N2	whole organism	4	run Yifan_20	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_20.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	4D
N2-day08-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	8D	N2	whole organism	4	run Yifan_21	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	8D
N2-day11-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	11D	N2	whole organism	4	run Yifan_22	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	11D
N2-day13-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	13D	N2	whole organism	4	run Yifan_23	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_23.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	13D
N2-day15-r4	Caenorhabditis elegans	whole organism	not applicable	normal	adult	15D	N2	whole organism	4	run Yifan_24	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Exploris 480;AC=MS:1003028	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	20231201_2023-128_Yifan_24.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	15D
