source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
111229_pHL22	Homo sapiens	not available	not applicable	not available	1	111229_pHL22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111229_pHL22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111229_pHL22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111222_HL09	Homo sapiens	not available	not applicable	not available	1	111222_HL09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111222_HL09.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111222_HL09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_iTRAQ_09	Homo sapiens	not available	not applicable	not available	9	CRC_iTRAQ_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_iTRAQ_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_iTRAQ_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120404_mHCT116_phospho_13	Homo sapiens	not available	not applicable	not available	13	120404_mHCT116_phospho_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120404_mHCT116_phospho_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120404_mHCT116_phospho_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr25	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	25	1	121102_CRC_T_Fr25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr06	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	6	1	121102_CRC_T_Fr06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_phospho_iTRAQ_09	Homo sapiens	not available	not applicable	not available	9	CRC_phospho_iTRAQ_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_phospho_iTRAQ_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_phospho_iTRAQ_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_iTRAQ_16	Homo sapiens	not available	not applicable	not available	16	CRC_iTRAQ_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_iTRAQ_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_iTRAQ_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120404_mHCT116_phospho_12	Homo sapiens	not available	not applicable	not available	12	120404_mHCT116_phospho_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120404_mHCT116_phospho_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120404_mHCT116_phospho_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120105_pLH13	Homo sapiens	not available	not applicable	not available	1	120105_pLH13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120105_pLH13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120105_pLH13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr11	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	11	1	121102_CRC_T_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_phospho_iTRAQ_04	Homo sapiens	not available	not applicable	not available	4	CRC_phospho_iTRAQ_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_phospho_iTRAQ_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_phospho_iTRAQ_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111222_HL06	Homo sapiens	not available	not applicable	not available	1	111222_HL06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111222_HL06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111222_HL06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121026_CRC_N_Fr04	Homo sapiens	not available	not applicable	not available	1	121026_CRC_N_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	4	1	121026_CRC_N_Fr04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121026_CRC_N_Fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr04	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	4	1	121102_CRC_T_Fr04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111229_pHL28	Homo sapiens	not available	not applicable	not available	1	111229_pHL28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111229_pHL28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111229_pHL28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121026_CRC_N_Fr20	Homo sapiens	not available	not applicable	not available	1	121026_CRC_N_Fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	20	1	121026_CRC_N_Fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121026_CRC_N_Fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120105_pLH14	Homo sapiens	not available	not applicable	not available	1	120105_pLH14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120105_pLH14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120105_pLH14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120105_pLH29	Homo sapiens	not available	not applicable	not available	1	120105_pLH29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120105_pLH29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120105_pLH29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111222_LH12	Homo sapiens	not available	not applicable	not available	1	111222_LH12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111222_LH12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111222_LH12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_phospho_iTRAQ_16	Homo sapiens	not available	not applicable	not available	16	CRC_phospho_iTRAQ_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_phospho_iTRAQ_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_phospho_iTRAQ_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr20	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	20	1	121102_CRC_T_Fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121102_CRC_T_Fr02	Homo sapiens	not available	not applicable	not available	1	121102_CRC_T_Fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	2	1	121102_CRC_T_Fr02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121102_CRC_T_Fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CRC_phospho_iTRAQ_24	Homo sapiens	not available	not applicable	not available	24	CRC_phospho_iTRAQ_24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	CRC_phospho_iTRAQ_24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/CRC_phospho_iTRAQ_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
111222_LH21	Homo sapiens	not available	not applicable	not available	1	111222_LH21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111222_LH21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/111222_LH21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
121026_CRC_N_Fr30	Homo sapiens	not available	not applicable	not available	1	121026_CRC_N_Fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	30	1	121026_CRC_N_Fr30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/121026_CRC_N_Fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
120404_mHCT116_phospho_04	Homo sapiens	not available	not applicable	not available	4	120404_mHCT116_phospho_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120404_mHCT116_phospho_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/01/PXD000089/120404_mHCT116_phospho_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
