source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
b1370p15_S7_Tot_Prot_P31_IPA_24h_0uM_3	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	3	b1370p15_S7_Tot_Prot_P31_IPA_24h_0uM_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p15_S7_Tot_Prot_P31_IPA_24h_0uM_3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p15_S7_Tot_Prot_P31_IPA_24h_0uM_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p15_S24_Tot_Prot_MV4_IPA_24h_20uM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p15_S24_Tot_Prot_MV4_IPA_24h_20uM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p15_S24_Tot_Prot_MV4_IPA_24h_20uM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p15_S24_Tot_Prot_MV4_IPA_24h_20uM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S1_X1100_PF_0nM_R	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S1_X1100_PF_0nM_R	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S1_X1100_PF_0nM_R.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S1_X1100_PF_0nM_R.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p15_S4_Tot_Prot_P31_IPA_24h_0uM_2	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	2	b1370p15_S4_Tot_Prot_P31_IPA_24h_0uM_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p15_S4_Tot_Prot_P31_IPA_24h_0uM_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p15_S4_Tot_Prot_P31_IPA_24h_0uM_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p14_S24_MV4_Frax_2h_1000nM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p14_S24_MV4_Frax_2h_1000nM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p14_S24_MV4_Frax_2h_1000nM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p14_S24_MV4_Frax_2h_1000nM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p13_S18_Tot_Prot_P31_PF_24h_1000nM_2	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	2	b1370p13_S18_Tot_Prot_P31_PF_24h_1000nM_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p13_S18_Tot_Prot_P31_PF_24h_1000nM_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p13_S18_Tot_Prot_P31_PF_24h_1000nM_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S17_T0741_PF_100nM_R	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S17_T0741_PF_100nM_R	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S17_T0741_PF_100nM_R.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S17_T0741_PF_100nM_R.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p29_S23_T0746_PF_1000nM	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p29_S23_T0746_PF_1000nM	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p29_S23_T0746_PF_1000nM.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p29_S23_T0746_PF_1000nM.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p12_S22_MV4_PF_24h_0uM_4	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	4	b1370p12_S22_MV4_PF_24h_0uM_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p12_S22_MV4_PF_24h_0uM_4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p12_S22_MV4_PF_24h_0uM_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
b1370p7_S20_MV4_PF_100_B3	homo sapiens	Blood	not applicable	acute leukemia	enrichment of phosphorylated protein	1	b1370p7_S20_MV4_PF_100_B3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	1.6 Da	dithiothreitol (dtt)	1	1	b1370p7_S20_MV4_PF_100_B3.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD056514/b1370p7_S20_MV4_PF_100_B3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Blood
