source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE0257_CorinneL_140724_7b_140731223406	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_7b_140731223406	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_7b_140731223406.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_7b_140731223406.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_3_140601195459	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_3_140601195459	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_3_140601195459.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_3_140601195459.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0226_CL_300514_TIOX_B	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0226_CL_300514_TIOX_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0226_CL_300514_TIOX_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0226_CL_300514_TIOX_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F5	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	5	1	QE0198_Corinne100414_HILICIMAC_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_9	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	9	QE0218_CLochmatter_210514_140521CL_A_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_B_2_140601164606	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0218_CLochmatter_210514_140521CL_B_2_140601164606	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_B_2_140601164606.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_B_2_140601164606.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_1b_140730032029	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_1b_140730032029	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_1b_140730032029.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_1b_140730032029.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0257_CorinneL_140724_6a_140731121311	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0257_CorinneL_140724_6a_140731121311	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0257_CorinneL_140724_6a_140731121311.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0257_CorinneL_140724_6a_140731121311.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_10	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	10	QE0218_CLochmatter_210514_140521CL_A_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0218_CLochmatter_210514_140521CL_A_4	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	4	QE0218_CLochmatter_210514_140521CL_A_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	QE0218_CLochmatter_210514_140521CL_A_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0218_CLochmatter_210514_140521CL_A_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
QE0198_Corinne100414_HILICIMAC_F3	homo sapiens	Leukocyte	not applicable	crohn's disease	enrichment of phosphorylated protein	1	QE0198_Corinne100414_HILICIMAC_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Dimethyl:2H(4);AC=UNIMOD:199;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.02 Da	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	QE0198_Corinne100414_HILICIMAC_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD002990/QE0198_Corinne100414_HILICIMAC_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Leukocyte
