source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[genetic modification]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[enrichment process]	characteristics[antibody enrichment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]	factor value[antibody enrichment]
SCR_GFP-RAB6B_noLRRK2_20161015_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB6B overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 403	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-10-16	20161015_QEp4_MaSt_SA_293_GFP-Rab6b_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB6B overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_20160217_r1	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 404	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GS_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_20160217_r2	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	2	run 405	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GS_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_20160217_r3	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 406	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GS_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_HG_20160217_r1	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 407	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GSHG_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_HG_20160217_r2	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	2	run 408	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-19	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GSHG_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7A_LRRK2-G2019S_HG_20160217_r3	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 409	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-19	20160217_QEp4_MaSt_SA_293T_GFP-Rab7aLRRK2_GSHG_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7A_noLRRK2_20160217_r1	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 410	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7a_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_noLRRK2_20160217_r2	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	2	run 411	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7a_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7A_noLRRK2_20160217_r3	Homo sapiens	kidney	not available	normal	HEK-293T cell	CVCL_0063	HEK293T	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7A overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 412	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-02-18	20160217_QEp4_MaSt_SA_293T_GFP-Rab7a_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7A overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_20161107_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 413	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-07	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_20161107_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	2	run 414	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-07	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_20161107_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 415	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-07	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	untreated	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_HG_20161107_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 416	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-08	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_HG_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_HG_20161107_r2	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	2	run 417	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-08	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_HG_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7B_LRRK2-G2019S_HG_20161107_r3	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	3	run 418	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-08	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_LRRK2_HG_IP-GFP_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression and FLAG-LRRK2-G2019S overexpression	HG-10-102-01	anti-GFP resin
SCR_GFP-RAB7B_noLRRK2_20161107_r1	Homo sapiens	kidney	not available	normal	HEK-293 cell	CVCL_0045	HEK293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	GFP-RAB7B overexpression	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-GFP resin	not synthetic	not applicable	not pooled	1	run 419	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2016-11-07	20161107_EXQ00_MaSt_SA_293_GFP-Rab7b_IP-GFP_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAB7B overexpression	untreated	anti-GFP resin
