source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
aleitner_C1409_086	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_086	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_086.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_086.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_060	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_060	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_060.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_060.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_044	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_044	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_044.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_044.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_114	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_114	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_114.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_114.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_110	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_110	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_110.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_110.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_102	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_102	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_102.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_102.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_047	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_047	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_047.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_047.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_062	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_062	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_062.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_062.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_090	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_090	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_090.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_090.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_046	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_046	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_046.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_046.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_038	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_038	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_038.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_038.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_051	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_051	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_051.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_051.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_040	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_040	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_040.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_040.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_052	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_052	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_052.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_052.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_080	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_080	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_080.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_080.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_050	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_050	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_050.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_050.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_104	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_104	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_104.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_104.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_064	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_064	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_064.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_064.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_085	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_085	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_085.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_085.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_112	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_112	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_112.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_112.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
aleitner_C1409_055	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	aleitner_C1409_055	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	0.6 Da	tris(2-carboxyethyl)phosphine (tcep)	iodoacetamide (iaa)	1	1	aleitner_C1409_055.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/05/PXD002646/aleitner_C1409_055.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
