source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
pt_wt_b1_f059	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	pt_wt_b1_f059	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	pt_wt_b1_f059.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/pt_wt_b1_f059.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f104	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f104	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f104.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f104.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f018	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f018	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f018.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f018.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubstantiaNigra_32d_2	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	2	20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubstantiaNigra_32d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubstantiaNigra_32d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20220202_BoxCarmax4th_wideMS1_JM_pSIL_pro_SubstantiaNigra_32d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_spleen_0d_1	mus musculus	spleen	not applicable	not available	enrichment of phosphorylated protein	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_spleen_0d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_spleen_0d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_spleen_0d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	spleen
mtob2_f123	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f123	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f123.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f055	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f055	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f055.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f055.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mt_2_b2_f81	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b2_f81	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	81	1	mt_2_b2_f81.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b2_f81.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f131	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f131	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f131.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f131.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20220630_Tau_PsSIL_DMSO_1h_2	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	2	20220630_Tau_PsSIL_DMSO_1h_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20220630_Tau_PsSIL_DMSO_1h_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20220630_Tau_PsSIL_DMSO_1h_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210709_JM_pSIL_phos_Striatum_8d_1	mus musculus	striatum	not applicable	not available	enrichment of phosphorylated protein	1	20210709_JM_pSIL_phos_Striatum_8d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210709_JM_pSIL_phos_Striatum_8d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210709_JM_pSIL_phos_Striatum_8d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	striatum
20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_cerebellum_32d_2	mus musculus	cerebellum	not applicable	not available	enrichment of phosphorylated protein	2	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_cerebellum_32d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_cerebellum_32d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_cerebellum_32d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	cerebellum
mt_2_b1_f21	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mt_2_b1_f21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	21	1	mt_2_b1_f21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mt_2_b1_f21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f135	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f135	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f135.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f135.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob1_f117	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f117	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f117.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f117.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_lung_0d_1	mus musculus	lung	not applicable	not available	enrichment of phosphorylated protein	1	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_lung_0d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_lung_0d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax1st_wideMS1_JM_pSIL_pro_lung_0d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	lung
20220202_BoxCarmax1st_wideMS1_JM_pSIL_pro_SubstantiaNigra_0d_2	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	2	20220202_BoxCarmax1st_wideMS1_JM_pSIL_pro_SubstantiaNigra_0d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20220202_BoxCarmax1st_wideMS1_JM_pSIL_pro_SubstantiaNigra_0d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20220202_BoxCarmax1st_wideMS1_JM_pSIL_pro_SubstantiaNigra_0d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
mtob2_f159	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob2_f159	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob2_f159.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob2_f159.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210719_JM_pSIL_pro_cerebellum_8d_2	mus musculus	cerebellum	not applicable	not available	enrichment of phosphorylated protein	2	20210719_JM_pSIL_pro_cerebellum_8d_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210719_JM_pSIL_pro_cerebellum_8d_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210719_JM_pSIL_pro_cerebellum_8d_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	cerebellum
20210719_JM_pSIL_pro_liver_32d_1	mus musculus	liver	not applicable	not available	enrichment of phosphorylated protein	1	20210719_JM_pSIL_pro_liver_32d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210719_JM_pSIL_pro_liver_32d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210719_JM_pSIL_pro_liver_32d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
mtob1_f059	mus musculus	not available	not applicable	not available	enrichment of phosphorylated protein	1	mtob1_f059	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	mtob1_f059.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/mtob1_f059.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available
20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_plasma_0d_1	mus musculus	blood plasma	not applicable	not available	enrichment of phosphorylated protein	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_plasma_0d_1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	high-ph reversed-phase chromatography (hphrp)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_plasma_0d_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD055942/20210805_BoxCarmax2nd_wideMS1_JM_pSIL_pro_plasma_0d_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	blood plasma
