source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
OR1_100208_HT_15N_NAA_SCX_15	Arabidopsis thaliana	not available	not applicable	not available	15	OR1_100208_HT_15N_NAA_SCX_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100208_HT_15N_NAA_SCX_15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100208_HT_15N_NAA_SCX_15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100309_HT_15N_NAA_SCX27	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_100309_HT_15N_NAA_SCX27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100309_HT_15N_NAA_SCX27.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100309_HT_15N_NAA_SCX27.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100215_HT_15N_NAA_SCX5	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_100215_HT_15N_NAA_SCX5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100215_HT_15N_NAA_SCX5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100215_HT_15N_NAA_SCX5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX31	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX31.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX31.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100129_HT_15N_NAA_SCX33	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100129_HT_15N_NAA_SCX33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100129_HT_15N_NAA_SCX33.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100129_HT_15N_NAA_SCX33.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX24	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX24.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX24.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX26	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX26.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX26.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX17	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX26	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX26.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX26.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100208_HT_15N_NAA_SCX_13	Arabidopsis thaliana	not available	not applicable	not available	13	OR1_100208_HT_15N_NAA_SCX_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100208_HT_15N_NAA_SCX_13.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100208_HT_15N_NAA_SCX_13.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX4	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX4.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100201_HT_15N_NAA_SCX12	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100201_HT_15N_NAA_SCX12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100201_HT_15N_NAA_SCX12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100201_HT_15N_NAA_SCX12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX25	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX25.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX25.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100129_HT_15N_NAA_SCX27	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100129_HT_15N_NAA_SCX27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100129_HT_15N_NAA_SCX27.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100129_HT_15N_NAA_SCX27.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR3_100413_HT_15N_NAA_SCX39	Arabidopsis thaliana	not available	not applicable	not available	1	OR3_100413_HT_15N_NAA_SCX39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR3_100413_HT_15N_NAA_SCX39.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR3_100413_HT_15N_NAA_SCX39.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX5	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX5	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX5.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX14_2	Arabidopsis thaliana	not available	not applicable	not available	2	OR2_100105_HT_NAA2hourSCX14_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX14_2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX14_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100105_HT_NAA2hourSCX30	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100105_HT_NAA2hourSCX30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100105_HT_NAA2hourSCX30.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100105_HT_NAA2hourSCX30.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR2_100201_HT_15N_NAA_SCX23	Arabidopsis thaliana	not available	not applicable	not available	1	OR2_100201_HT_15N_NAA_SCX23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR2_100201_HT_15N_NAA_SCX23.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR2_100201_HT_15N_NAA_SCX23.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_100215_HT_15N_NAA_SCX8	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_100215_HT_15N_NAA_SCX8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_100215_HT_15N_NAA_SCX8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_100215_HT_15N_NAA_SCX8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX15	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR1_091109_HT_NAA14N2hoursSCX16	Arabidopsis thaliana	not available	not applicable	not available	1	OR1_091109_HT_NAA14N2hoursSCX16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	OR1_091109_HT_NAA14N2hoursSCX16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/02/PXD000177/OR1_091109_HT_NAA14N2hoursSCX16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
