source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[ion exchange method]	comment[precursor mass tolerance]	comment[salt step]	comment[technical replicate]	comment[data file]	factor value[cell type]
PXD026127-Sample 11	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 11	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000637	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_rescue_F4_180811171512.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08112018_rescue_F4_180811171512.raw	cd4
PXD026127-Sample 12	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 12	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000690	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F4_ETD_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	3	LCA_08262018_CD3_FT_F4_ETD_03.raw	cd4
PXD026127-Sample 13	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 13	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000638	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F5_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08112018_CD3_FT_F5_CID_01.raw	cd4
PXD026127-Sample 14	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 14	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000639	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F5_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08112018_CD3_FT_F5_CID_02.raw	cd4
PXD026127-Sample 15	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 15	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000640	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F6_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08112018_CD3_FT_F6_CID_01.raw	cd4
PXD026127-Sample 16	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 16	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000641	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F6_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08112018_CD3_FT_F6_CID_02.raw	cd4
PXD026127-Sample 17	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 17	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000695	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F6_CID_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	3	LCA_08262018_CD3_FT_F6_CID_03.raw	cd4
PXD026127-Sample 18	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 18	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000642	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F7_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08112018_CD3_FT_F7_CID_01.raw	cd4
PXD026127-Sample 19	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 19	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	7	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000643	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F7_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08112018_CD3_FT_F7_CID_02.raw	cd4
PXD026127-Sample 20	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 20	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000644	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F8_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	1	LCA_08112018_CD3_FT_F8_CID_01.raw	cd4
PXD026127-Sample 21	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 21	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000645	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08112018_CD3_FT_F8_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	not applicable	2	LCA_08112018_CD3_FT_F8_CID_02.raw	cd4
PXD026127-Sample 22	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	1	peripheral blood	not available	1	run 22	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	8	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000700	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08262018_CD3_FT_F8_CID_03.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	500 mM	3	LCA_08262018_CD3_FT_F8_CID_03.raw	cd4
PXD026127-Sample 23	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 23	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000646	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F1_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08212018_CD3_200_F1_CID_02.raw	cd4
PXD026127-Sample 24	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 24	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	1	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000647	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F1_CID_rescue_180821165104.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08212018_CD3_200_F1_CID_rescue_180821165104.raw	cd4
PXD026127-Sample 25	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 25	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000648	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F2_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08212018_CD3_200_F2_CID_01.raw	cd4
PXD026127-Sample 26	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 26	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	2	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000649	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F2_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08212018_CD3_200_F2_CID_02.raw	cd4
PXD026127-Sample 27	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 27	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000650	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F3_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08212018_CD3_200_F3_CID_01.raw	cd4
PXD026127-Sample 28	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 28	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000651	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F3_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08212018_CD3_200_F3_CID_02.raw	cd4
PXD026127-Sample 29	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 29	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000652	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F4_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08212018_CD3_200_F4_CID_01.raw	cd4
PXD026127-Sample 30	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 30	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000653	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08212018_CD3_200_F4_CID_02.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	2	LCA_08212018_CD3_200_F4_CID_02.raw	cd4
PXD026127-Sample 31	Homo sapiens	blood	normal	CD4-positive, alpha-beta T cell	not available	not available	not available	2	peripheral blood	not available	2	run 31	proteomic profiling by mass spectrometry	NT=stored waveform inverse fourier transform;AC=MS:1000284	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000654	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026127/LCA_08222018_CD3_200_F5_CID_01.raw	2.2 Da	NT=Strong anion-exchange chromatography;AC=PRIDE:0000558	10 ppm	200 mM	1	LCA_08222018_CD3_200_F5_CID_01.raw	cd4
