source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
IPX0001289001-Sample 4	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 21	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016907_83009_A_Gastric_Cardia_sRP_10per_F3.raw	Exp016907_83009_A_Gastric_Cardia_sRP_10per_F3.raw
IPX0001289001-Sample 4	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 22	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016907_83009_A_Gastric_Cardia_sRP_10per_F4.raw	Exp016907_83009_A_Gastric_Cardia_sRP_10per_F4.raw
IPX0001289001-Sample 4	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 23	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	5	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016907_83009_A_Gastric_Cardia_sRP_10per_F5.raw	Exp016907_83009_A_Gastric_Cardia_sRP_10per_F5.raw
IPX0001289001-Sample 4	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 24	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	6	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016907_83009_A_Gastric_Cardia_sRP_10per_F6.raw	Exp016907_83009_A_Gastric_Cardia_sRP_10per_F6.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 25	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F1.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F1.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 26	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F2.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F2.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 27	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F3.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F3.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 28	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F4.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F4.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 29	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	5	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F5.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F5.raw
IPX0001289001-Sample 5	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 30	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	6	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016908_83010_B_Gastric_Fundus_sRP_10per_F6.raw	Exp016908_83010_B_Gastric_Fundus_sRP_10per_F6.raw
