source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
B090310_012	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090310_012	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090310_012.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090310_012.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_031	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_031	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_031.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_031.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_010	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_010.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_010.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090306_008	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090306_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090306_008.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090306_008.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_080	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_080	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_080.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_080.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_085	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_085	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_085.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_085.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090307_007	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090307_007	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090307_007.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090307_007.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090310_011	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090310_011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090310_011.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090310_011.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_065	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_065	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_065.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_065.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090306_015	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090306_015	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090306_015.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090306_015.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090307_003	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090307_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090307_003.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090307_003.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_061	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_061	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_061.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_061.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_035	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_035	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_035.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_035.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_003	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_003.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_003.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_066	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_066	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_066.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_066.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_052	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_052	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_052.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_052.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B110221_053	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B110221_053	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B110221_053.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B110221_053.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_036	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_036	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_036.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_036.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090311_003	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090311_003	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090311_003.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090311_003.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_013	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_013	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_013.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_013.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B090310_014	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B090310_014	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B090310_014.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B090310_014.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B101210_025	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B101210_025	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B101210_025.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B101210_025.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
B0101213_042	Homo sapiens	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	B0101213_042	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	B0101213_042.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/11/PXD000341/B0101213_042.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
