id	tier	group	label	reason	organism_taxname	pride_organism_part	sdrf_organism_part	sdrf_cell_type	pmid	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD078502	T2	mouse	include	annotated in this batch	Mus musculus (mouse)	Aortic valve	aortic valve	not available	not available	86	Q Exactive HF	TIC	Data-dependent acquisition	Hyalectan Remodeling Contributes to Aortic Stenosis: Insights from Proteomics and Glycoproteomics
PXD000354	T2	rat	include	annotated in this batch	Rattus norvegicus (rat)	Cardiac muscle	cardiac muscle tissue	not available	24467267	20	LTQ Orbitrap Velos Pro	not available	Bottom-up proteomics	Rat cardiac mitochondrial proteome and phosphoproteome
PXD001585	T2	rat	include	annotated in this batch	Rattus norvegicus (rat)	Cell culture;Fetal cardiomyocyte	heart	fetal cardiomyocyte	25799991	48	Q Exactive	Spectrum counting	Shotgun proteomics	Phosphodiesterase 9A Controls Nitric-oxide Independent cGMP and Hypertrophic Heart Disease
PXD002536	T2	rat	include	annotated in this batch	Rattus norvegicus (rat)	Cell culture;Fetal cardiomyocyte	heart	fetal cardiomyocyte	26546672	16	LTQ Orbitrap Elite	Spectrum counting	Shotgun proteomics	A novel phosphorylation site at Ser130 adjacent to the pseudosubstrate domain regulates protein kinase C-δ activity
PXD003795	T2	rat	include	annotated in this batch	Rattus norvegicus (rat)	Fetal cardiomyocyte	heart	fetal cardiomyocyte	27245613	6	LTQ Orbitrap Elite	Spectrum counting	Shotgun proteomics	Protein kinase A-dependent phosphorylation stimulates the transcriptional activity of hypoxia-inducible factor 1, part 2
PXD015337	T2	rat	include	annotated in this batch	Rattus norvegicus (rat)	Cell culture;Cardiac muscle cell	heart	cardiac muscle cell	not available	12	Orbitrap Fusion Lumos	TIC	Shotgun proteomics	Therapeutic miR-132 inhibition reverses heart failure
PXD054499	T2	bear	skip	no usable raw files	Ursus arctos (brown bear) (grizzly bear)	Cardiac muscle	not available	not available	39694092	0	Orbitrap Ascend	not available	Bottom-up proteomics	Identification of cardiac myosin heavy chain post-translational modifications in hibernating grizzly bears
PXD047218	T2	human	skip	no usable raw files	Homo sapiens (human)	Cell culture;Cardiac blood vessel endothelial cell	not available	not available	not available	0	Bruker Daltonics timsTOF series	not available	Data-independent acquisition	Uncovering the mechanisms responsible for intravenous paracetamol-induced hypotension
PXD048231	T2	human	skip	no cleavage agent stated	Homo sapiens (human)	Cardiac muscle cell	not available	not available	39636558	0	Orbitrap Exploris 240	Label free	Data-dependent acquisition;Bottom-up proteomics	Cytotoxicity and Toxicoproteomic Analysis of Pioglitazone Exposure in Human-derived Cardiomyocytes
PXD019895	T2	mouse	skip	no cleavage agent stated	Mus musculus (mouse)	Cell culture;Fibroblast of cardiac tissue	not available	not available	not available	0	LTQ Orbitrap	MS1 intensity based label-free quantification method	Shotgun proteomics	Cathepsin A contributes to left ventricular remodeling by degrading the antioxidant enzyme extracellular superoxide dismutase
PXD076207	T2	mouse	skip	no cleavage agent stated	Mus musculus (mouse)	Cardiac muscle	not available	not available	not available	0	Q Exactive HF	not available	Bottom-up proteomics	road therapeutic benefit of myosin inhibition in  hypertrophic cardiomyopathy
PRD000165	T2	not classified	skip	legacy non-PXD accession	Rattus norvegicus (rat)	Cardiac muscle cell	not available	not available	20037178	0	LTQ Orbitrap;instrument model	not available	Bottom-up proteomics	Myofilament -  Proteomics analysis of the cardiac myofilament subproteome reveals dynamic alterations in phosphatase subunit distribution
PXD002541	T2	not classified	skip	experiment type outside the ms-proteomics template	Mus musculus (mouse)	Cell culture;Cardiac muscle cell	not available	not available	27452465	0	LTQ Orbitrap Velos	not available	Top-down proteomics	HL-1 mRNA interactome -  The Cardiomyocyte RNA-Binding Proteome: Links to Intermediary Metabolism and Heart Disease
PXD002543	T2	not classified	skip	experiment type outside the ms-proteomics template	Mus musculus (mouse)	Cell culture;Cardiac muscle cell	not available	not available	27452465	0	LTQ Orbitrap Velos	not available	Top-down proteomics	RBDmap -  The Cardiomyocyte RNA-Binding Proteome: Links to Intermediary Metabolism and Heart Disease
PXD003621	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Homo sapiens (human)	Cell culture;Cardiac muscle cell	not available	not available	27095734	0	Thermo Scientific instrument model	Peptide counting;SILAC	Shotgun proteomics	Prolyl hydroxylation regulates protein degradation, synthesis and splicing in human induced pluripotent stem cell-derived cardiomyocytes
PXD006066	T2	not classified	skip	experiment type outside the ms-proteomics template	Sus scrofa domesticus (domestic pig)	Cardiac muscle;Cardiac muscle cell	not available	not available	28455290	0	LTQ Orbitrap Velos	not available	Affinity purification coupled with mass spectrometry proteomics	Quantitative cardiac phosphoproteomics profiling during ischemic/reperfusion in an immature swine model
PXD008584	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Homo sapiens (human)	Cell culture;Cardiac gastric gland	not available	not available	30326427	0	Q Exactive	TMT	Shotgun proteomics	Synthetic circular RNA functions as a miR-21 sponge to suppress gastric carcinoma cell proliferation
PXD013718	T2	not classified	skip	more than one organism, no per-run mapping	Homo sapiens (human);Mus musculus (mouse)	Cell culture;Cardiac muscle cell	not available	not available	31209506	0	LTQ Orbitrap Velos;Q Exactive	TMT	Shotgun proteomics	Degradome of soluble ADAM10 and ADAM17 metalloproteases
PXD014624	T2	not classified	skip	experiment type outside the ms-proteomics template	Rattus norvegicus (rat)	Cell culture;Cardiac muscle cell	not available	not available	31495694	0	Q Exactive	Label free	Affinity purification coupled with mass spectrometry proteomics;Shotgun proteomics	Mechanical forces regulate cardiomyocyte myofilament maturation via the VCL-SSH1-CFL axis
PXD019399	T2	not classified	skip	experiment type outside the ms-proteomics template	Mus musculus (mouse)	Cell culture;Cardiac muscle cell	not available	not available	not available	0	TripleTOF 5600	SWATH MS	Affinity purification coupled with mass spectrometry proteomics	The Caveolin3 complex stabilizes functional surface expression of the Lactate-Proton Shuttle McT1 but not the sodium channel Nav1.5 in cardiomyocytes - Part 3: Cav1/Cav3 Interactom
PXD021375	T2	not classified	skip	experiment type outside the ms-proteomics template	Rattus rattus (black rat)	Cell culture;Specialized cardiac myocyte	not available	not available	not available	0	LTQ Orbitrap Elite	Label free	Top-down proteomics;Gel-based experiment	Interactome of the -subunit of L-type voltage-gated calcium channels in adult cardiomyocytes
PXD021858	T2	not classified	skip	instrument not resolvable per run	Homo sapiens (human)	Aortic valve	not available	not available	not available	0	Orbitrap Fusion Lumos;Q Exactive	Label free	Shotgun proteomics	ApoC-III is a novel inducer of human valvular calcification
PXD024067	T2	not classified	skip	experiment type outside the ms-proteomics template	Mus musculus (mouse)	Cell culture;Cardiac muscle cell	not available	not available	36546462	0	LTQ Orbitrap Velos	MS1 intensity based label-free quantification method	Affinity purification coupled with mass spectrometry proteomics;Shotgun proteomics;Gel-based experiment	Long non-coding RNA Neat1 is a key of translational regulator in hypoxia
PXD031367	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Homo sapiens (human)	Cell culture;Regular cardiac myocyte	not available	not available	not available	0	LTQ Orbitrap	TMT	Top-down proteomics	Phosphoproteomic analysis of STK25 knockout iPS derived cardiomyocytes
PXD053715	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Homo sapiens (human)	Cardiomyocyte cell line;Cardiac muscle cell	not available	not available	not available	0	LTQ Orbitrap Elite	Dimethyl Labeling	Bottom-up proteomics	N-terminomics in NAA10 mutant iPSC-CMs
PXD060926	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Mus musculus (mouse)	Cell culture;Fibroblast of cardiac tissue	not available	not available	not available	0	Orbitrap Fusion Lumos	SILAC	Data-dependent acquisition;Bottom-up proteomics	Defining the cardiac fibroblast secretome - in vitro stimulation
PXD068395	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Rattus norvegicus (rat)	Regular ventricular cardiac myocyte	not available	not available	41487088	0	Orbitrap Exploris 480	TMT	Data-dependent acquisition;Bottom-up proteomics	Myocardial recovery with mechanical circulatory support is linked to alternative splicing and subcellular localization of CAMK2D
PXD078618	T2	not classified	skip	labelled quantification - no public channel-to-sample key	Homo sapiens (human)	Aortic valve	not available	not available	not available	0	Orbitrap Ascend	TMT	Glycoproteomics	Hyalectan Remodeling Contributes to Aortic Stenosis: Insights from Glycoproteomics
PXD021531	T2	rat	skip	no cleavage agent stated	Rattus norvegicus (rat)	Cardiomyocyte cell line;Regular cardiac myocyte	not available	not available	33082318	0	LTQ Orbitrap Elite	Spectrum counting;MS1 intensity based label-free quantification method	Shotgun proteomics	CHIP phosphorylation regulates proteostasis
PXD047994	T2	rat	skip	no cleavage agent stated	Rattus norvegicus (rat)	Cell culture;Cardiac muscle cell;Cardiac muscle myoblast	not available	not available	not available	0	Q Exactive HF	Normalized Spectral Abundance Factor - NSAF	Data-dependent acquisition	Proteomic investigatProteomic investigation of acute and chronic hypoxia /reoxygenation responsive hemostatic proteins and pathways in H9C2 cardiomyocyteson of acute and chronic hy
PXD062686	T2	rat	skip	no usable raw files	Rattus norvegicus (rat)	Fetal cardiomyocyte	not available	not available	40598158	0	Synapt MS	Relative quantification	HDMSE	Comparative proteomic profiling of neonatal rat ventricular cardiomyocytes (NRVCMs) following TRIM24 downregulation
PXD064832	T2	rat	skip	no usable raw files	Rattus norvegicus (rat)	Fetal cardiomyocyte	not available	not available	40598158	0	Synapt MS	Relative quantification	HDMSE	Comparative proteomic profiling of neonatal rat ventricular cardiomyocytes (NRVCMs) following TRIM24 overexpression
