source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[equalization]	characteristics[individual]	characteristics[origin]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cel type]
PXD026125-Sample 11	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000637	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_10-55_a.raw	pbmc
PXD026125-Sample 12	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 12	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000638	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_a.raw	pbmc
PXD026125-Sample 13	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000639	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_b.raw	pbmc
PXD026125-Sample 14	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000640	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_15-45_c.raw	pbmc
PXD026125-Sample 15	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000641	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_03_20-40_a.raw	pbmc
PXD026125-Sample 16	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000642	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_10-55_a.raw	pbmc
PXD026125-Sample 17	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000643	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_a.raw	pbmc
PXD026125-Sample 18	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000644	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_b.raw	pbmc
PXD026125-Sample 19	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000645	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_15-45_c.raw	pbmc
PXD026125-Sample 20	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000646	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_04_20-40_a.raw	pbmc
PXD026125-Sample 21	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000647	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_10-55_a.raw	pbmc
PXD026125-Sample 22	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000648	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_a.raw	pbmc
PXD026125-Sample 23	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 23	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000649	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_b.raw	pbmc
PXD026125-Sample 24	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000650	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_15-45_c.raw	pbmc
PXD026125-Sample 25	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000651	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_05_20-40_a.raw	pbmc
PXD026125-Sample 26	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000652	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_10-55_a.raw	2.2 Da	10 ppm	1	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_10-55_a.raw	pbmc
PXD026125-Sample 27	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000653	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_a.raw	2.2 Da	10 ppm	2	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_a.raw	pbmc
PXD026125-Sample 28	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 28	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000654	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_b.raw	2.2 Da	10 ppm	3	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_b.raw	pbmc
PXD026125-Sample 29	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 29	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000655	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_c.raw	2.2 Da	10 ppm	4	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_15-45_c.raw	pbmc
PXD026125-Sample 30	Homo sapiens	blood	normal	peripheral blood mononuclear cell	not available	not available	not available	whole cell	1	purchased from SCD	not available	1	run 30	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	AC=PRIDE:0000565;NT=High-performance liquid chromatography	NT=Data-Dependent Acquisition;AC=PRIDE:0000656	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Trypsin/P; AC=MS:1001313	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD026125/20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_20-40_a.raw	2.2 Da	10 ppm	5	20180525_rmi049_APA_PLRPS_PBMC-test_Fraction_06_20-40_a.raw	pbmc
