source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GS_IP-GFP_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GS_IP-GFP_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GS_IP-GFP_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151203_QEp4_MaSt_SA_293T_GFP-Rab3aLRRK2_GS_IP-GFP_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20140820_QEp4_MaSt_SA_MEFs_wtMLI2_P_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20140820_QEp4_MaSt_SA_MEFs_wtMLI2_P_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20140820_QEp4_MaSt_SA_MEFs_wtMLI2_P_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20140820_QEp4_MaSt_SA_MEFs_wtMLI2_P_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_EXQ00_MaSt_SA_MEFs_KO_IP-Rab8_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150313_EXQ00_MaSt_SA_MEFs_KO_IP-Rab8_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_EXQ00_MaSt_SA_MEFs_KO_IP-Rab8_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_EXQ00_MaSt_SA_MEFs_KO_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150829_QEp4_MaSt_SA_293T_flag-LRRK2HA-Rab8_TA_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150113_QEp6_MaSt_SA_Rab-8-IP_HG_1	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	1	20150113_QEp6_MaSt_SA_Rab-8-IP_HG_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150113_QEp6_MaSt_SA_Rab-8-IP_HG_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150113_QEp6_MaSt_SA_Rab-8-IP_HG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab8_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab8_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab8_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_EXQ00_MaSt_SA_MEFs_G2019SHG_IP-Rab8_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_2	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	2	20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20150313_Orbi6_MaSt_SA_Rab1LRRKHG_150_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73E_IP-HA_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73E_IP-HA_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73E_IP-HA_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73E_IP-HA_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73A_IP-HA_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73A_IP-HA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73A_IP-HA_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151003_Qep3_MaSt_SA_293T_HA-Rab10_T73A_IP-HA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_4	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	4	20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_3	homo sapiens	stem	HEK293	parkinson's disease	HEK293	CVCL_0045	HEK293	3	20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	25% NCE	sds page	dithiothreitol (dtt)	acrylamide (aa)	1	1	20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/02/PXD003071/20151216_QEp6_MaSt_SA_flag-LRRK2_GSHA-Rab10_IP-HA_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	stem
