source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain or breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[affinity enrichment]
AP-E.Ctln.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200910_OEF_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	IgG negative control
AP-E.Ctln.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200910_OEF_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	IgG negative control
AP-F.Ctln.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200910_OEF_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	GFP nanobody negative control
AP-F.Ctln.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200910_OEF_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	GFP nanobody negative control
AP-F.Ctln.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200910_OEF_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200910_OEF_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	GFP nanobody negative control
AP-H.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200911_OEF_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket Enp1 depletion
AP-H.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200911_OEF_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket Enp1 depletion
AP-H.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200911_OEF_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Basket Enp1 depletion
AP-I.replicat.1	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	1	OF_20200911_OEF_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs MLP1/2 deletion
AP-I.replicat.2	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	2	OF_20200911_OEF_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs MLP1/2 deletion
AP-I.replicat.3	Saccharomyces cerevisiae	not applicable	normal	not applicable	cell	not available	3	OF_20200911_OEF_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	1	OF_20200911_OEF_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	All NPCs MLP1/2 deletion
