source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Saci_APTP_TiO2_640-649_17Dec11_BA1_01_3911.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_640-649_17Dec11_BA1_01_3911.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_640-649_17Dec11_BA1_01_3911.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_640-649_17Dec11_BA1_01_3911.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific1260-1280_RE3_01_1730.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific1260-1280_RE3_01_1730.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific1260-1280_RE3_01_1730.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific1260-1280_RE3_01_1730.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-560-569_RD4_01_2944.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-560-569_RD4_01_2944.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-560-569_RD4_01_2944.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-560-569_RD4_01_2944.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific420-440_RE5_01_1678.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific420-440_RE5_01_1678.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific420-440_RE5_01_1678.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific420-440_RE5_01_1678.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_660-669_17Dec11_BA1_01_3913.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_660-669_17Dec11_BA1_01_3913.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_660-669_17Dec11_BA1_01_3913.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_660-669_17Dec11_BA1_01_3913.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-960-969_RD6_01_2990.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-960-969_RD6_01_2990.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-960-969_RD6_01_2990.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-960-969_RD6_01_2990.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-540-549_RD4_01_2941.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-540-549_RD4_01_2941.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-540-549_RD4_01_2941.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-540-549_RD4_01_2941.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific680-700_RE5_01_1691.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific680-700_RE5_01_1691.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific680-700_RE5_01_1691.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific680-700_RE5_01_1691.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific681-701_GD1_01_1868.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific681-701_GD1_01_1868.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific681-701_GD1_01_1868.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific681-701_GD1_01_1868.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific501-521_GD1_01_1857.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific501-521_GD1_01_1857.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific501-521_GD1_01_1857.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific501-521_GD1_01_1857.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sci-800-809_RD5_01_2971.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Sci-800-809_RD5_01_2971.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Sci-800-809_RD5_01_2971.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Sci-800-809_RD5_01_2971.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific881-901_GD1_01_1880.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific881-901_GD1_01_1880.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific881-901_GD1_01_1880.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific881-901_GD1_01_1880.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Saci_APTP_TiO2_820-829_17Dec11_BA2_01_3932.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	Saci_APTP_TiO2_820-829_17Dec11_BA2_01_3932.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	Saci_APTP_TiO2_820-829_17Dec11_BA2_01_3932.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/Saci_APTP_TiO2_820-829_17Dec11_BA2_01_3932.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
SaciWTPacific861-881_GD1_01_1879.d.zip	Sulfolobus acidocaldarius	not available	not applicable	not available	phosphopeptide enrichment (IMAC)	1	SaciWTPacific861-881_GD1_01_1879.d.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Bruker Daltonics HCT Series;AC=MS:1000697	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	0.8 Da	NT=SDS PAGE;AC=PRIDE:0000568	dithiothreitol	acrylamide	1	1	SaciWTPacific861-881_GD1_01_1879.d.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000289/SaciWTPacific861-881_GD1_01_1879.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
