source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]
SJSA-1-Nutlin-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ae_DIAHiSe_50min_5-10-42_12ul_GA5_1_6172	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_2Ae_DIAHiSe_50min_5-10-42_12ul_GA5_1_6172.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ae_DIAHiSe_50min_5-10-42_12ul_GA5_1_6189	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_2Ae_DIAHiSe_50min_5-10-42_12ul_GA5_1_6189.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-DMSO-poly-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	2	run SM_DobbelsteinWeber_250325_230425_2Af_DIAHiSe_50min_5-10-42_12ul_GB2_1_6176	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_2Af_DIAHiSe_50min_5-10-42_12ul_GB2_1_6176.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-poly-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	2	run SM_DobbelsteinWeber_250325_230425_2Af_DIAHiSe_50min_5-10-42_12ul_GB2_1_6210	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_2Af_DIAHiSe_50min_5-10-42_12ul_GB2_1_6210.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-Nutlin-poly-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ag_DIAHiSe_50min_5-10-42_12ul_GB5_1_6180	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_2Ag_DIAHiSe_50min_5-10-42_12ul_GB5_1_6180.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-poly-r2	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	2	run SM_DobbelsteinWeber_250325_230425_2Ag_DIAHiSe_50min_5-10-42_12ul_GB5_1_6214	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_2Ag_DIAHiSe_50min_5-10-42_12ul_GB5_1_6214.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-DMSO-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ad_DIAHiSe_50min_5-10-42_12ul_GA3_1_6169	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_3Ad_DIAHiSe_50min_5-10-42_12ul_GA3_1_6169.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ad_DIAHiSe_50min_5-10-42_12ul_GA3_1_6186	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_3Ad_DIAHiSe_50min_5-10-42_12ul_GA3_1_6186.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-Nutlin-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ae_DIAHiSe_50min_5-10-42_12ul_GA6_1_6173	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_3Ae_DIAHiSe_50min_5-10-42_12ul_GA6_1_6173.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ae_DIAHiSe_50min_5-10-42_12ul_GA6_1_6207	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_3Ae_DIAHiSe_50min_5-10-42_12ul_GA6_1_6207.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-DMSO-poly-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	3	run SM_DobbelsteinWeber_250325_230425_3Af_DIAHiSe_50min_5-10-42_12ul_GB3_1_6177	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_3Af_DIAHiSe_50min_5-10-42_12ul_GB3_1_6177.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-DMSO-poly-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	dimethyl sulfoxide	cell	3	run SM_DobbelsteinWeber_250325_230425_3Af_DIAHiSe_50min_5-10-42_12ul_GB3_1_6211	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_3Af_DIAHiSe_50min_5-10-42_12ul_GB3_1_6211.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dimethyl sulfoxide
SJSA-1-Nutlin-poly-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ag_DIAHiSe_50min_5-10-42_12ul_GB6_1_6181	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	1	SM_DobbelsteinWeber_250325_230425_3Ag_DIAHiSe_50min_5-10-42_12ul_GB6_1_6181.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
SJSA-1-Nutlin-poly-r3	Homo sapiens	femur	not available	SJSA-1	CVCL_1697	SJSA-1	osteosarcoma	adult	19Y	male	African American	femur	not applicable	Nutlin-3	cell	3	run SM_DobbelsteinWeber_250325_230425_3Ag_DIAHiSe_50min_5-10-42_12ul_GB6_1_6215	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro 2;AC=MS:1003230	label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	not available	not available	not available	1	2	SM_DobbelsteinWeber_250325_230425_3Ag_DIAHiSe_50min_5-10-42_12ul_GB6_1_6215.mzML	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	Nutlin-3
