source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PrfAgelL09ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL09ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL09ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL09ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaL07	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaL07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaL07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaL07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHI05	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHI01	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaK10ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaK10ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaK10ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaK10ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaK01ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaK01ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaK01ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaK01ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL11ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL11ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL11ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL11ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL16	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli07	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK02ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK02ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK02ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK02ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaK04ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaK04ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaK04ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaK04ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL21	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
