source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]	comment[MS min charge]	comment[MS max charge]	comment[collision energy]	comment[ms2 mass analyzer]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]
Soil_21	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_7_HAW10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_22	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_18_LUQ10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_23	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_65_CDR12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_24	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_1_AND10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_25	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_63_NWT12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_26	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_2_AND10h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_27	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_15_KNZ10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_28	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_17_LUQ10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_29	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_23_AND11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_30	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_24_AND11h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_31	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_57_KBS12h.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_32	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_29_HAW11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_33	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_41_NWT11f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_34	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_19_NWT10f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
Soil_35	Escherichia coli	soil	not applicable	1	not applicable	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161020_NJ_Felipe_52_HBR12f.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	AC=MS:1000422;NT=HCD	6 ppm	9 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0	2	7	30 eV	AC=MS:1000484;NT=orbitrap	350	1550	1.6
