source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	characteristics[sample composition]	characteristics[sampling date]	characteristics[sperm count]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	comment[tool metadata]	factor value[organism part]
B3_R1	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	1	not available	spermatozoa	13/10/2023	105000000	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00921_1p_Ionopticks3_PM3_CMB-1435_KRGEV_11.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B4_R2	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	2	not available	spermatozoa	20/10/2023	195000000	run 12	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00923_1p_Ionopticks3_PM3_CMB-1435_KRGEV_12.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B1_R3	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	3	not available	spermatozoa	24/10/2023	475000000	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00925_1p_Ionopticks3_PM3_CMB-1435_KRGEV_13.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B2_R4	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	4	not available	spermatozoa	27/10/2023	350000000	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00927_1p_Ionopticks3_PM3_CMB-1435_KRGEV_14.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B3_R5	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	5	not available	spermatozoa	31/10/2023	350000000	run 15	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00929_1p_Ionopticks3_PM3_CMB-1435_KRGEV_15.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B4_R1	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	1	not available	spermatozoa	13/10/2023	35000000	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00931_1p_Ionopticks3_PM3_CMB-1435_KRGEV_16.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B1_R2	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	2	not available	spermatozoa	20/10/2023	265000000	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00933_1p_Ionopticks3_PM3_CMB-1435_KRGEV_17.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B2_R3	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	3	not available	spermatozoa	24/10/2023	630000000	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00935_1p_Ionopticks3_PM3_CMB-1435_KRGEV_18.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B3_R4	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	4	not available	spermatozoa	27/10/2023	365000000	run 19	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00937_1p_Ionopticks3_PM3_CMB-1435_KRGEV_19.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
B4_R5	Bos taurus	sperm	spermatozoa	not applicable	not applicable	spermatozoa	not available	male	spermatozoa	5	not available	spermatozoa	31/10/2023	100000000	run 20	proteomic profiling by mass spectrometry	Data-independent acquisition	Orbitrap Exploris 240	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	10 ppm	20 ppm	1	1	CMB-1435DIA_UPRC_9913X00939_1p_Ionopticks3_PM3_CMB-1435_KRGEV_20.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	semen
Z_B3_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	2	not available	6 x 2-cell; 1 x 3-cell; 3 x 4-cell	26/10/2023	not applicable	run 9	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04736_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_9_S1-A9_1_5274.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B3_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	3	not available	6 x 2-cell; 2 x 3-cell; 2 x 4-cell	29/10/2023	not applicable	run 13	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04737_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_13_S1-B1_1_5275.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B3_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	4	not available	7 x 2-cell; 3 x 3-cell; 0 x 4-cell	02/11/2023	not applicable	run 17	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04738_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_17_S1-B5_1_5276.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B4_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	3	not available	6 x 2-cell; 1 x 3-cell; 3 x 4-cell	29/10/2023	not applicable	run 11	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04739_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_11_S1-A11_1_5277.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R4_2	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	4	not available	3 x 2-cell; 4 x 3-cell; 3 x 4-cell	02/11/2023	not applicable	run 19	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	2	T04740_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_19_S1-B7_1_5278.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	4	not available	3 x 2-cell; 4 x 3-cell; 3 x 4-cell	02/11/2023	not applicable	run 18	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04741_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_18_S1-B6_1_5279.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B4_R2_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	2	not available	6 x 2-cell; 2 x 3-cell; 2 x 4-cell	26/10/2023	not applicable	run 10	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04742_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_10_S1-A10_1_5280.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	1	not available	7 x 2-cell; 3 x 3-cell; 0 x 4-cell	22/10/2023	not applicable	run 1	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04743_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_1_S1-A1_1_5281.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B2_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	4	not available	7 x 2-cell; 1 x 3-cell; 2 x 4-cell	02/11/2023	not applicable	run 16	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04744_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_16_S1-B4_1_5282.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B2_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	1	not available	8 x 2-cell; 1 x 3-cell; 1 x 4-cell	22/10/2023	not applicable	run 3	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04745_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_3_S1-A3_1_5283.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B4_R4_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	4	not available	4 x 2-cell; 4 x 3-cell; 2 x 4-cell	02/11/2023	not applicable	run 20	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04746_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_20_S1-B8_1_5284.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B4_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	1	not available	8 x 2-cell; 2 x 3-cell; 0 x 4-cell	22/10/2023	not applicable	run 5	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04747_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_5_S1-A5_1_5285.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B3_R1_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	1	not available	10 x 2-cell; 0 x 3-cell; 0 x 4-cell	22/10/2023	not applicable	run 4	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04749_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_4_S1-A4_1_5287.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
Z_B1_R3_1	Bos taurus	Embryo	mixed	not applicable	not applicable	2/4-cell stage embryo	not available	not available	2/4-cell stage embryo (pool of 10)	3	not available	3 x 2-cell; 3 x 3-cell; 4 x 4-cell	29/10/2023	not applicable	run 14	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF SCP	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;CF=H(2) C(2) O;MM=42.010565;MT=Variable;PP=Protein N-term;TA=[]	higher energy beam-type collision-induced dissociation	15 ppm	20 ppm	1	1	T04750_EvoAurEl4_20SPDDIAPASEF-CMB-1455_Emin_zy_14_S1-B2_1_5288.d	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0		lesSDRF v0.1.0	2/4-cell stage embryos (pool of 10)
