source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20141205_047_Dalg9_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_047_Dalg9_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_047_Dalg9_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_047_Dalg9_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_038_Dalg6_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_038_Dalg6_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_038_Dalg6_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_038_Dalg6_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_030_Dalg3_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_030_Dalg3_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_030_Dalg3_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_030_Dalg3_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_037_Dalg6_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_037_Dalg6_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_037_Dalg6_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_037_Dalg6_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_014_Dost6_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_014_Dost6_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_014_Dost6_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_014_Dost6_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_031_Dalg3_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_031_Dalg3_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_031_Dalg3_cw_3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_031_Dalg3_cw_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_011_Dost5_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_011_Dost5_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_011_Dost5_cw_3.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_011_Dost5_cw_3.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_028_Ddie2_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_028_Ddie2_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_028_Ddie2_cw_4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_028_Ddie2_cw_4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_026_Ddie2_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_026_Ddie2_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_026_Ddie2_cw_2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_026_Ddie2_cw_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_051_Dalg12_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_051_Dalg12_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_051_Dalg12_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_051_Dalg12_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_045_Dalg9_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_045_Dalg9_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_045_Dalg9_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_045_Dalg9_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_005_Dost3_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_005_Dost3_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_005_Dost3_cw_2_IDAforSWATH.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_005_Dost3_cw_2_IDAforSWATH.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_009_Dost5_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_009_Dost5_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_009_Dost5_cw_2_IDAforSWATH.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_009_Dost5_cw_2_IDAforSWATH.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_033_Dalg5_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_033_Dalg5_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_033_Dalg5_cw_2_IDAforSWATH.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_033_Dalg5_cw_2_IDAforSWATH.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_043_Dalg8_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_043_Dalg8_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_043_Dalg8_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_043_Dalg8_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_042_Dalg8_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_042_Dalg8_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_042_Dalg8_cw_2.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_042_Dalg8_cw_2.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_004_BY4741_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_004_BY4741_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_004_BY4741_cw_4.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_004_BY4741_cw_4.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_007_Dost3_cw_3	saccharomyces cerevisiae	not available	not applicable	not available	3	20141205_007_Dost3_cw_3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_007_Dost3_cw_3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_007_Dost3_cw_3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_006_Dost3_cw_2	saccharomyces cerevisiae	not available	not applicable	not available	2	20141205_006_Dost3_cw_2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_006_Dost3_cw_2.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_006_Dost3_cw_2.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_036_Dalg5_cw_4	saccharomyces cerevisiae	not available	not applicable	not available	4	20141205_036_Dalg5_cw_4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_036_Dalg5_cw_4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_036_Dalg5_cw_4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
20141205_041_Dalg8_cw_2_IDAforSWATH	saccharomyces cerevisiae	not available	not applicable	not available	1	20141205_041_Dalg8_cw_2_IDAforSWATH	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	not applicable	not available	1	1	20141205_041_Dalg8_cw_2_IDAforSWATH.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/04/PXD003091/20141205_041_Dalg8_cw_2_IDAforSWATH.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation
