source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism]
PXD055135-Sample-11	Reston ebolavirus	not applicable	not applicable	not available	1	VirusID_Specificity_T11	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T11.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Reston ebolavirus
PXD055135-Sample-12	Zaire ebolavirus	not applicable	not applicable	not available	1	VirusID_Specificity_T12	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T12.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Zaire ebolavirus
PXD055135-Sample-13	Orthomarburgvirus marburgense	not applicable	not applicable	not available	1	VirusID_Specificity_T13	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T13.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Orthomarburgvirus marburgense
PXD055135-Sample-14	dengue virus type 2	not applicable	not applicable	not available	1	VirusID_Specificity_T14	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T14.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	dengue virus type 2
PXD055135-Sample-15	Human coronavirus NL63	not applicable	not applicable	not available	1	VirusID_Specificity_T15	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-18	1	1	VirusID_Specificity_T15.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Human coronavirus NL63
PXD055135-Sample-16	human respiratory syncytial virus	not applicable	not applicable	not available	1	VirusID_Specificity_T16	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-20	1	1	VirusID_Specificity_T16.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	human respiratory syncytial virus
PXD055135-Sample-17	Monkeypox virus	not applicable	not applicable	not available	1	VirusID_Specificity_T17	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-07-18	1	1	VirusID_Specificity_T17.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Monkeypox virus
PXD055135-Sample-18	Monkeypox virus	not applicable	not applicable	not available	2	VirusID_Specificity_T18	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-07-18	1	1	VirusID_Specificity_T18.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Monkeypox virus
PXD055135-Sample-19	Monkeypox virus	not applicable	not applicable	not available	3	VirusID_Specificity_T19	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-07-18	1	1	VirusID_Specificity_T19.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Monkeypox virus
PXD055135-Sample-20	not applicable	not applicable	not applicable	not available	1	VirusID_Specificity_N20	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N20.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-21	not applicable	not applicable	not applicable	not available	2	VirusID_Specificity_N21	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N21.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-22	not applicable	not applicable	not applicable	not available	3	VirusID_Specificity_N22	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N22.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-23	not applicable	not applicable	not applicable	not available	4	VirusID_Specificity_N23	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N23.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-24	not applicable	not applicable	not applicable	not available	5	VirusID_Specificity_N24	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N24.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-25	not applicable	not applicable	not applicable	not available	6	VirusID_Specificity_N25	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N25.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-26	not applicable	not applicable	not applicable	not available	7	VirusID_Specificity_N26	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N26.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
PXD055135-Sample-27	not applicable	not applicable	not applicable	not available	8	VirusID_Specificity_N27	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-12-18	1	1	VirusID_Specificity_N27.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not applicable
