source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD055135-Sample-39	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	12	VirusID_SARS-CoV-2_P12_1-16-2023_580	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P12_1-16-2023_580.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-40	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	13	VirusID_SARS-CoV-2_P13_1-16-2023_581	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P13_1-16-2023_581.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-41	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	14	VirusID_SARS-CoV-2_P14_1-16-2023_582	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P14_1-16-2023_582.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-42	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	15	VirusID_SARS-CoV-2_P15_1-16-2023_583	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P15_1-16-2023_583.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-43	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	16	VirusID_SARS-CoV-2_P16_1-16-2023_584	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P16_1-16-2023_584.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-44	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	17	VirusID_SARS-CoV-2_P17_1-16-2023_585	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P17_1-16-2023_585.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-45	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	18	VirusID_SARS-CoV-2_P18_1-16-2023_586	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P18_1-16-2023_586.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-46	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	19	VirusID_SARS-CoV-2_P19_1-16-2023_587	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P19_1-16-2023_587.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-47	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	20	VirusID_SARS-CoV-2_P20_1-16-2023_588	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P20_1-16-2023_588.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-48	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	21	VirusID_SARS-CoV-2_P21_1-16-2023_589	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P21_1-16-2023_589.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-49	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	22	VirusID_SARS-CoV-2_P22_1-16-2023_590	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P22_1-16-2023_590.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-50	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	23	VirusID_SARS-CoV-2_P23_1-16-2023_591	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P23_1-16-2023_591.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-51	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	24	VirusID_SARS-CoV-2_P24_1-16-2023_592	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P24_1-16-2023_592.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-52	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	25	VirusID_SARS-CoV-2_P25_1-16-2023_593	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P25_1-16-2023_593.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-53	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	26	VirusID_SARS-CoV-2_P26_1-16-2023_594	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P26_1-16-2023_594.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-54	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	27	VirusID_SARS-CoV-2_P27_1-16-2023_595	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P27_1-16-2023_595.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-55	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	28	VirusID_SARS-CoV-2_P28_1-16-2023_596	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-16	1	1	VirusID_SARS-CoV-2_P28_1-16-2023_596.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-56	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	29	VirusID_SARS-CoV-2_P29_1-16-2023_597	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-17	1	1	VirusID_SARS-CoV-2_P29_1-16-2023_597.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-57	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	30	VirusID_SARS-CoV-2_P30_1-17-2023_598	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-17	1	1	VirusID_SARS-CoV-2_P30_1-17-2023_598.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-58	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	31	VirusID_SARS-CoV-2_P31_1-17-2023_599	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-17	1	1	VirusID_SARS-CoV-2_P31_1-17-2023_599.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
PXD055135-Sample-59	Homo sapiens	upper respiratory tract	COVID-19	not available	not available	not available	not available	pooled	pooled	32	VirusID_SARS-CoV-2_P32_1-17-2023_600	proteomic profiling by mass spectrometry	NT=timsTOF HT;AC=MS:1003404	label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not applicable	not applicable	not applicable	Data-independent acquisition	NT=collision-induced dissociation;AC=MS:1000133	not available	15 ppm	15 ppm	NT=time-of-flight;AC=MS:1000084	100m/z	1700m/z	0.65	1.35	350	1150	not available	2023-01-17	1	1	VirusID_SARS-CoV-2_P32_1-17-2023_600.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	COVID-19
