source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]
PTA55_RL_MG132_Tx	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	red light + MG132 50 uM	tissue	study sample	pooled	1	run 11	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	11	2013-02-15_velos_2515.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	red light + MG132 50 uM
PTA55_RL_MG132_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	red light + MG132 50 uM	tissue	study sample	pooled	1	run 12	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	12	2013-02-15_velos_2517.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	red light + MG132 50 uM
PTA75_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 7d	tissue	study sample	pooled	1	run 13	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	13	2013-04-02_velos_2974.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 7d
PTA75_Tx	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 7d	tissue	study sample	pooled	1	run 14	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	14	2013-04-02_velos_2976.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 7d
PTA75_SDS	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 7d	tissue	study sample	pooled	1	run 15	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	15	2013-04-02_velos_2978.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 7d
PTA79_P_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	not available	tissue	study sample	pooled	1	run 16	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	16	2013-04-26_velos_3248.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not available
PTA79_P_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	not available	tissue	study sample	pooled	1	run 17	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	17	2013-04-26_velos_3249.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not available
PTA79_P_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	not available	tissue	study sample	pooled	1	run 18	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=glutamyl endopeptidase;AC=MS:1001917	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	18	2013-04-26_velos_3251.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	not available
PTA79_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 1d + MG132 100 uM	tissue	study sample	pooled	1	run 19	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	19	2013-05-19_velos_3471.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 1d + MG132 100 uM
PTA79_Tris	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 1d + MG132 100 uM	tissue	study sample	pooled	1	run 20	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	20	2013-05-19_velos_3472.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 1d + MG132 100 uM
PTA79_Tx	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 1d + MG132 100 uM	tissue	study sample	pooled	1	run 21	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	21	2013-05-19_velos_3474.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 1d + MG132 100 uM
PTA79_Tx	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 1d + MG132 100 uM	tissue	study sample	pooled	1	run 22	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Chymotrypsin;AC=MS:1001306	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	22	2013-05-19_velos_3475.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 1d + MG132 100 uM
PTA79_SDS	Physcomitrium patens	gametophore	not available	normal	not available	Gransden 2004	Knop medium, agar plates or hydroponic ring culture	dark 1d + MG132 100 uM	tissue	study sample	pooled	1	run 23	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;TA=K;MT=Fixed	NT=Dimethyl:2H(4)13C(2);AC=UNIMOD:510;PP=Any N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	8 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	1	23	2013-05-19_velos_3477.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	dark 1d + MG132 100 uM
